Participant,Trial,Temperature,Duration,Location,FeltThermal,FeltLocation,ThermalMatch,LocationError
1,142,-15,0.1,0.0,-1,0.0,1,0.0
1,145,-15,0.1,0.0,-1,0.0,1,0.0
1,163,-15,0.1,0.0,-1,0.0,1,0.0
1,3,-15,0.1,0.25,-1,0.9081945,1,-0.6581945
1,175,-15,0.1,0.25,-1,0.0,1,0.25
1,19,-15,0.1,0.5,-1,0.4193056,1,0.0806944
1,56,-15,0.1,0.5,0,0.0,0,0.5
1,27,-15,0.1,0.75,-1,0.7804167,1,-0.030416699999999963
1,67,-15,0.1,0.75,-1,0.6748611,1,0.07513890000000001
1,101,-15,0.1,0.75,-1,0.7166666,1,0.03333339999999996
1,1,-15,0.1,1.0,-1,0.9166667,1,0.08333330000000005
1,117,-15,0.1,1.0,-1,0.6415278,1,0.3584722
1,15,-15,1.0,0.0,-1,0.0,1,0.0
1,45,-15,1.0,0.0,-1,0.0,1,0.0
1,48,-15,1.0,0.0,-1,0.0,1,0.0
1,53,-15,1.0,0.0,-1,0.0,1,0.0
1,83,-15,1.0,0.0,-1,0.0,1,0.0
1,132,-15,1.0,0.0,-1,0.0,1,0.0
1,6,-15,1.0,0.25,-1,0.8359722,1,-0.5859722
1,24,-15,1.0,0.25,-1,0.0,1,0.25
1,25,-15,1.0,0.25,-1,0.0,1,0.25
1,105,-15,1.0,0.25,-1,0.0,1,0.25
1,154,-15,1.0,0.25,-1,0.0,1,0.25
1,89,-15,1.0,0.5,-1,0.7277778,1,-0.22777780000000003
1,111,-15,1.0,0.5,-1,0.6555555,1,-0.15555549999999996
1,155,-15,1.0,0.5,-1,0.7444444,1,-0.2444444
1,177,-15,1.0,0.5,-1,0.5611111,1,-0.061111099999999974
1,29,-15,1.0,0.75,-1,0.6915278,1,0.058472199999999974
1,166,-15,1.0,0.75,-1,0.7527778,1,-0.0027778000000000524
1,171,-15,1.0,0.75,-1,0.6722222,1,0.07777780000000001
1,23,-15,1.0,1.0,-1,0.6970834,1,0.3029166
1,30,-15,1.0,1.0,-1,0.7970834,1,0.2029166
1,72,-15,1.0,1.0,-1,0.7193056,1,0.2806944
1,97,-15,1.0,1.0,0,0.15,0,0.85
1,134,-15,1.0,1.0,-1,0.6776389,1,0.32236109999999996
1,60,-15,2.0,0.25,-1,0.0,1,0.25
1,169,-15,2.0,0.25,-1,0.0,1,0.25
1,178,-15,2.0,0.25,-1,0.0,1,0.25
1,32,-15,2.0,0.5,-1,0.2359723,1,0.2640277
1,176,-15,2.0,0.5,-1,0.6111111,1,-0.11111110000000002
1,140,-15,2.0,0.75,-1,0.6694444,1,0.08055559999999995
1,158,-15,2.0,0.75,-1,0.7109722,1,0.039027799999999946
1,162,-15,2.0,0.75,-1,0.7472222,1,0.0027778000000000524
1,164,-15,2.0,0.75,-1,0.7277778,1,0.02222219999999997
1,70,-15,2.0,1.0,-1,0.6637501,1,0.3362499
1,100,-15,2.0,1.0,-1,0.7277778,1,0.27222219999999997
1,173,-15,2.0,1.0,-1,0.6861111,1,0.3138889
1,14,0,0.1,0.0,0,0.005555556,1,-0.005555556
1,66,0,0.1,0.0,0,0.0,1,0.0
1,88,0,0.1,0.0,0,0.0,1,0.0
1,104,0,0.1,0.0,0,0.0,1,0.0
1,146,0,0.1,0.0,0,0.0,1,0.0
1,86,0,0.1,0.25,0,0.0,1,0.25
1,119,0,0.1,0.25,0,0.0,1,0.25
1,122,0,0.1,0.25,0,0.0,1,0.25
1,4,0,0.1,0.5,0,0.8331945,1,-0.33319449999999995
1,11,0,0.1,0.5,0,0.3915278,1,0.10847220000000002
1,42,0,0.1,0.5,0,0.3526389,1,0.14736110000000002
1,54,0,0.1,0.5,0,0.5776389,1,-0.07763889999999996
1,79,0,0.1,0.5,0,0.6777778,1,-0.17777779999999999
1,85,0,0.1,0.5,0,0.6277778,1,-0.12777780000000005
1,36,0,0.1,0.75,0,0.6776389,1,0.07236109999999996
1,46,0,0.1,0.75,0,0.6554167,1,0.09458330000000004
1,71,0,0.1,0.75,0,0.7222222,1,0.027777799999999964
1,34,0,0.1,1.0,0,0.7831945,1,0.21680549999999998
1,123,0,0.1,1.0,0,0.6833333,1,0.31666669999999997
1,147,0,0.1,1.0,0,0.575,1,0.42500000000000004
1,13,0,1.0,0.0,0,0.0,1,0.0
1,17,0,1.0,0.0,0,0.0,1,0.0
1,35,0,1.0,0.0,0,0.0,1,0.0
1,58,0,1.0,0.0,0,0.0,1,0.0
1,2,0,1.0,0.25,0,0.3304167,1,-0.08041670000000001
1,41,0,1.0,0.25,0,0.0,1,0.25
1,130,0,1.0,0.25,0,0.0,1,0.25
1,136,0,1.0,0.25,0,0.0,1,0.25
1,26,0,1.0,0.5,0,0.6693056,1,-0.16930559999999995
1,33,0,1.0,0.5,0,0.5915278,1,-0.09152780000000005
1,174,0,1.0,0.5,0,0.6970834,1,-0.19708340000000002
1,39,0,1.0,0.75,0,0.7443056,1,0.005694399999999988
1,43,0,1.0,0.75,0,0.6831945,1,0.06680549999999996
1,82,0,1.0,0.75,0,0.6916667,1,0.05833330000000003
1,99,0,1.0,0.75,0,0.6333333,1,0.11666670000000001
1,144,0,1.0,0.75,0,0.7222222,1,0.027777799999999964
1,91,0,1.0,1.0,0,0.7555556,1,0.2444444
1,159,0,1.0,1.0,0,0.7388889,1,0.26111110000000004
1,165,0,1.0,1.0,0,0.7527778,1,0.24722219999999995
1,40,0,2.0,0.0,0,0.0,1,0.0
1,68,0,2.0,0.0,0,0.0,1,0.0
1,77,0,2.0,0.0,0,0.0,1,0.0
1,16,0,2.0,0.25,0,0.3609723,1,-0.11097230000000002
1,31,0,2.0,0.25,0,0.0,1,0.25
1,151,0,2.0,0.25,0,0.6944444,1,-0.44444439999999996
1,180,0,2.0,0.25,0,0.0,1,0.25
1,64,0,2.0,0.5,0,0.6665278,1,-0.1665278
1,95,0,2.0,0.5,0,0.6361111,1,-0.13611110000000004
1,138,0,2.0,0.5,0,0.7027778,1,-0.2027778
1,61,0,2.0,0.75,0,0.6026389,1,0.14736110000000002
1,65,0,2.0,0.75,0,0.6915278,1,0.058472199999999974
1,125,0,2.0,0.75,0,0.6859723,1,0.06402770000000002
1,50,0,2.0,1.0,0,0.6861111,1,0.3138889
1,107,0,2.0,1.0,0,0.6416667,1,0.35833329999999997
1,114,0,2.0,1.0,0,0.6888889,1,0.3111111
1,128,0,2.0,1.0,0,0.6388889,1,0.3611111
1,153,0,2.0,1.0,0,0.6831945,1,0.31680549999999996
1,161,0,2.0,1.0,0,0.6555555,1,0.34444450000000004
1,49,9,0.1,0.0,1,0.0,1,0.0
1,84,9,0.1,0.0,1,0.0,1,0.0
1,102,9,0.1,0.0,1,0.0,1,0.0
