T-15.0_D0.1_L0.0,T-15.0_D0.1_L0.25,T-15.0_D0.1_L0.5,T-15.0_D0.1_L0.75,T-15.0_D0.1_L1.0,T-15.0_D1.0_L0.0,T-15.0_D1.0_L0.25,T-15.0_D1.0_L0.5,T-15.0_D1.0_L0.75,T-15.0_D1.0_L1.0,T-15.0_D2.0_L0.0,T-15.0_D2.0_L0.25,T-15.0_D2.0_L0.5,T-15.0_D2.0_L0.75,T-15.0_D2.0_L1.0,T0.0_D0.1_L0.0,T0.0_D0.1_L0.25,T0.0_D0.1_L0.5,T0.0_D0.1_L0.75,T0.0_D0.1_L1.0,T0.0_D1.0_L0.0,T0.0_D1.0_L0.25,T0.0_D1.0_L0.5,T0.0_D1.0_L0.75,T0.0_D1.0_L1.0,T0.0_D2.0_L0.0,T0.0_D2.0_L0.25,T0.0_D2.0_L0.5,T0.0_D2.0_L0.75,T0.0_D2.0_L1.0,T9.0_D0.1_L0.0,T9.0_D0.1_L0.25,T9.0_D0.1_L0.5,T9.0_D0.1_L0.75,T9.0_D0.1_L1.0,T9.0_D1.0_L0.0,T9.0_D1.0_L0.25,T9.0_D1.0_L0.5,T9.0_D1.0_L0.75,T9.0_D1.0_L1.0,T9.0_D2.0_L0.0,T9.0_D2.0_L0.25,T9.0_D2.0_L0.5,T9.0_D2.0_L0.75,T9.0_D2.0_L1.0
0.0,0.9081945,0.4193056,0.7804167,0.9166667,0.0,0.8359722,0.7277778,0.6915278,0.6970834,0.0,0.0,0.2359723,0.6694444,0.6637501,0.005555556,0.0,0.8331945,0.6776389,0.7831945,0.0,0.3304167,0.6693056,0.7443056,0.7555556,0.0,0.3609723,0.6665278,0.6026389,0.6861111,0.0,0.0,0.7970834,0.9109722,0.83875,0.0,0.7055556,0.7026389,0.7527778,0.6972222,0.0,0.0,0.7109722,0.6805556,0.8304167
0.0,0.0,0.7805555,0.6748611,0.6415278,0.0,0.0,0.6555555,0.7527778,0.7970834,0.0,0.0,0.6111111,0.7109722,0.7277778,0.0,0.0,0.3915278,0.6554167,0.6833333,0.0,0.0,0.5915278,0.6831945,0.7388889,0.0,0.0,0.6361111,0.6915278,0.6416667,0.0,0.0,0.7165278,0.0,0.8943056,0.0,0.0,0.6970834,0.625,0.7277778,0.0,0.0,0.0,0.7944444,0.6361111
0.0,0.4305556,0.5194445,0.7166666,1.0,0.0,0.0,0.7444444,0.6722222,0.7193056,0.0,0.0,0.7083333,0.7472222,0.6861111,0.0,0.0,0.3526389,0.7222222,0.575,0.0,0.0,0.6970834,0.6916667,0.7527778,0.0,0.6944444,0.7027778,0.6859723,0.6888889,0.0,0.0,0.7416667,0.6665278,0.7970834,0.0,0.0,0.6861111,0.7776389,0.73875,0.0,0.0,0.6276389,0.7583333,0.6444445
0.1583333,0.2388889,0.5361111,1.0,0.9027778,0.0,0.0,0.5611111,1.0,0.6776389,0.3861111,0.4361111,0.5194445,0.7277778,1.0,0.0,0.0,0.5776389,1.0,1.0,0.0,0.0,0.7444444,0.6333333,1.0,0.0,0.0,0.2194444,0.06097225,0.6388889,0.0,0.0,0.7555556,0.6972222,0.6831945,0.0,0.2415278,0.5805556,0.4331945,1.0,0.0,0.55,0.6111111,0.7026389,0.6083333
0.175,0.2861111,0.5833333,1.0,1.0,0.0,0.0,0.275,0.7777778,0.5694444,0.2833333,0.5222222,0.575,1.0,1.0,0.0,1.0,0.6777778,1.0,1.0,0.0,0.6944444,0.5861111,0.7222222,1.0,0.0,0.2638889,0.7611111,0.6666667,0.6831945,0.0,0.0,1.0,0.0,0.6388889,0.0,0.3943056,0.4665278,0.8305556,1.0,0.0,0.2,0.525,0.8555555,0.6166667
0.2583333,0.0,0.5720834,0.45,1.0,0.0,0.2305555,0.5222222,0.6916667,1.0,0.2998612,0.4083333,0.8665278,0.6777778,1.0,0.0,0.0,0.6277778,0.85,1.0,0.0,0.2777778,0.6194444,0.4804167,1.0,0.0,0.0,0.6972222,0.8305556,0.6555555,0.0,0.1833333,1.0,1.0,0.7805555,0.0,0.0,0.4027778,0.7333333,1.0,0.0,0.2416667,0.4472222,1.0,1.0
0.2359723,0.2944444,0.7581945,1.0,1.0,0.3055556,0.4444444,0.4666667,0.81375,1.0,0.2609723,0.5527778,0.7887501,0.85,1.0,0.1277778,0.5027778,0.7583333,0.3859723,1.0,0.0,0.0,0.5694444,1.0,1.0,0.0,0.5138889,0.3415278,0.7027778,1.0,0.0,0.0,0.7194445,1.0,1.0,0.0,0.8859723,0.5416667,0.8222222,0.8222222,0.0,0.1861111,0.6333333,0.8388889,0.6944444
0.1443056,0.8859723,0.6776389,0.775,1.0,0.2694444,0.3,0.3638889,0.9165278,1.0,0.2470833,0.9609722,0.7776389,0.8804167,0.9554167,0.0,0.2081945,0.425,0.4526389,0.6748612,0.0,0.3138889,0.4277778,1.0,0.42500000000000004,0.0,0.1472222,0.4804167,1.0,1.0,0.1444444,0.0,0.5777778,0.7998611,0.5054166999999999,0.06666667,0.4415278,0.5194445,0.4526389,1.0,0.1416667,0.1388889,0.8804167,0.8722222,1.0
0.4554167,0.9109722,0.7665278,0.8554167,0.9998611000000001,0.0,0.8805556,0.9222222,0.7609723,0.9916667,0.3165278,0.6554167,0.9225121,0.8804167,1.0,0.08055556,0.6193056,1.0,0.1165278,0.6915278,0.13597230000000002,0.3304167,0.4804167,0.71375,0.96375,0.0,0.0,0.5026389,0.8638889,1.0,0.5165278,0.5111111,0.6026389,0.8304167,0.23055556,0.06944440000000002,0.1693056,0.5831945,0.8665278,0.9081945,0.16388890000000003,0.2276389,0.5776389,0.875,0.7555556
0.3304167,0.81375,0.1183763,0.8359722,1.0,0.0194444,0.8581945,0.9222222,0.8970833,1.0,0.0,0.8748611,0.1047468,0.8748611,0.9804167,0.24708339999999998,0.36375,1.0,0.4248611,0.8415278,0.2915278,0.1555556,0.3359722,0.2554167,0.8748611000000001,0.11374999999999999,0.5193056,0.5248612,0.8333333,0.975,0.05819450000000001,0.3361111,0.5831945,0.2081945,0.8470834,0.1415278,0.2526389,0.6720834,0.7109722,0.9220833,0.1831945,0.5109723,0.4443056,0.3776389,0.7304167
