Participant,Trial,Temperature,Duration,Location,FeltThermal,FeltLocation,ThermalMatch,LocationError
16,1,9,1.0,0.0,1,0.01404018,1,-0.01404018
16,2,9,1.0,1.0,1,0.9473276,1,0.05267239999999995
16,3,9,0.1,0.75,1,0.9554604,1,-0.2054604
16,4,0,2.0,0.25,0,0.05877286,1,0.19122714
16,5,9,0.1,0.5,1,0.9615605,1,-0.46156050000000004
16,7,9,0.1,0.5,1,0.9635937,1,-0.4635937
16,8,-15,0.1,0.0,-1,0.0,1,0.0
16,9,-15,2.0,0.0,-1,0.09943886,1,-0.09943886
16,10,-15,2.0,0.75,-1,0.7378967,1,0.012103300000000039
16,11,-15,2.0,0.75,-1,0.861928,1,-0.11192800000000003
16,12,0,1.0,0.25,0,0.1116389,1,0.13836110000000001
16,13,9,1.0,0.0,1,0.08723879,1,-0.08723879
16,14,9,1.0,1.0,1,1.0,1,0.0
16,16,0,0.1,1.0,0,1.0,1,0.0
16,17,9,1.0,0.0,1,0.0,1,0.0
16,18,0,1.0,0.0,0,0.0,1,0.0
16,19,-15,0.1,1.0,-1,0.7297638,1,0.27023620000000004
16,20,-15,2.0,0.25,-1,0.3251356,1,-0.07513560000000002
16,21,-15,2.0,0.0,-1,0.0,1,0.0
16,22,0,2.0,0.75,0,0.9493604,1,-0.1993604
16,23,9,1.0,0.25,1,0.7948294,1,-0.5448294
16,24,0,1.0,0.5,0,0.800929,1,-0.300929
16,25,9,2.0,0.25,1,0.1990709,1,0.050929100000000005
16,26,9,0.1,1.0,1,0.9554604,1,0.04453960000000001
16,27,9,0.1,1.0,1,0.9412274,1,0.05877259999999995
16,28,9,2.0,0.75,1,0.8029623,1,-0.05296230000000002
16,29,9,0.1,0.0,1,0.0,1,0.0
16,30,-15,2.0,0.5,-1,0.7622964,1,-0.2622964
16,31,0,2.0,0.0,0,0.1909375,1,-0.1909375
16,32,9,1.0,0.25,1,0.2804033,1,-0.030403300000000022
16,33,9,2.0,0.25,1,0.3434352,1,-0.0934352
16,34,0,2.0,0.0,0,0.2427035,1,-0.2427035
16,35,-15,0.1,0.5,-1,0.9290273,1,-0.4290273
16,36,9,0.1,0.0,1,0.1502715,1,-0.1502715
16,37,0,1.0,0.0,0,0.1868708,1,-0.1868708
16,38,9,2.0,0.75,1,1.0,1,-0.25
16,40,-15,1.0,1.0,-1,0.9868929,1,0.013107100000000038
16,41,-15,1.0,0.75,-1,0.9879935,1,-0.23799349999999997
16,42,0,0.1,1.0,0,1.0,1,0.0
16,43,-15,0.1,0.0,-1,0.1482382,1,-0.1482382
16,44,-15,1.0,0.0,-1,0.1898375,1,-0.1898375
16,45,0,0.1,0.75,0,1.0,1,-0.25
16,46,0,2.0,1.0,0,1.0,1,0.0
16,47,0,0.1,0.0,0,0.0648729,1,-0.0648729
16,48,9,1.0,0.5,1,0.8049957,1,-0.3049957
16,49,9,1.0,0.75,1,1.0,1,-0.25
16,50,0,0.1,0.75,0,0.9351279,1,-0.1851279
16,51,0,2.0,0.5,0,1.0,1,-0.5
16,52,9,2.0,0.5,1,1.0,1,-0.5
16,53,-15,1.0,0.75,-1,0.8293954,1,-0.0793954
16,54,-15,0.1,0.25,-1,0.0,1,0.25
16,55,-15,1.0,0.0,-1,0.2031376,1,-0.2031376
16,56,0,1.0,0.75,0,0.8375287,1,-0.08752870000000001
16,57,-15,2.0,1.0,-1,0.9981598,1,0.0018401999999999585
16,58,9,0.1,1.0,1,1.0,1,0.0
16,59,-15,0.1,1.0,-1,0.9645266,1,0.03547339999999999
16,60,0,0.1,0.25,0,0.1258719,1,0.12412809999999999
16,61,9,2.0,0.0,1,0.1828042,1,-0.1828042
16,62,-15,0.1,0.0,-1,0.1299386,1,-0.1299386
16,63,0,0.1,0.5,0,0.9147945,1,-0.41479449999999995
16,64,0,2.0,0.0,0,0.2234706,1,-0.2234706
16,65,-15,2.0,0.0,-1,0.2377035,1,-0.2377035
16,66,9,1.0,0.5,1,0.7968627,1,-0.29686270000000003
16,67,0,1.0,0.25,0,0.2377036,1,0.012296400000000013
16,68,9,0.1,0.25,1,0.1828042,1,0.0671958
16,69,-15,2.0,0.25,-1,0.2133043,1,0.0366957
16,70,9,2.0,0.75,1,1.0,1,-0.25
16,71,-15,0.1,0.25,-1,0.1645049,1,0.08549509999999999
16,72,-15,1.0,0.25,-1,0.1726379,1,0.07736209999999999
16,73,-15,1.0,1.0,-1,0.9737605,1,0.02623949999999997
16,74,9,1.0,0.25,1,0.1665383,1,0.0834617
16,75,0,0.1,0.25,0,0.04657282,1,0.20342717999999999
16,76,0,0.1,0.5,0,0.9920601,1,-0.4920601
16,77,-15,0.1,0.5,-1,0.9656267,1,-0.46562669999999995
16,79,0,1.0,1.0,0,0.9462274,1,0.05377259999999995
16,80,0,1.0,0.75,0,1.0,1,-0.25
16,81,-15,1.0,0.25,-1,0.3556353,1,-0.10563529999999999
16,82,-15,0.1,0.75,-1,1.0,1,-0.25
16,83,0,1.0,0.0,0,0.1421382,1,-0.1421382
16,84,0,0.1,0.75,0,0.9269941,1,-0.17699410000000004
16,86,-15,0.1,0.75,-1,1.0,1,-0.25
16,87,-15,0.1,1.0,-1,1.0,1,0.0
16,88,-15,0.1,0.75,-1,1.0,1,-0.25
16,89,0,1.0,0.5,0,0.1726379,1,0.3273621
16,90,9,0.1,0.25,1,0.09333885,1,0.15666115
16,91,-15,2.0,1.0,-1,0.9737601,1,0.026239899999999983
16,92,9,1.0,1.0,1,0.8212621,1,0.1787379
16,93,9,1.0,0.75,1,0.888361,1,-0.13836099999999996
16,94,0,1.0,0.0,0,0.184838,1,-0.184838
16,95,-15,0.1,0.75,-1,0.8436288,1,-0.09362879999999996
16,96,9,0.1,0.0,1,0.08927259,1,-0.08927259
16,97,9,1.0,0.75,1,0.8395616,1,-0.08956160000000002
16,98,-15,0.1,0.5,-1,0.9950263,1,-0.49502630000000003
16,99,9,2.0,1.0,1,1.0,1,0.0
16,100,-15,1.0,0.75,-1,1.0,1,-0.25
16,101,-15,2.0,0.25,-1,0.2194039,1,0.030596099999999987
16,102,9,2.0,1.0,1,1.0,1,0.0
16,103,-15,2.0,0.75,-1,0.8110957,1,-0.061095699999999975
