participantNumber,trialNumber,location,thermal,feltIllusion
17,1,1,-1,0
17,2,0.8138889,-1,0
17,3,0.04444445,1,0
17,3,0.1972222,1,1
17,3,0.1583333,1,1
17,4,1,0,0
17,5,0.2861111,-1,0
17,6,1,1,0
17,7,0.7666667,-1,0
17,8,1,-1,1
17,9,0.9333333,-1,0
17,10,0.7944444,-1,0
17,10,0.9555556,-1,0
17,11,1,1,0
17,12,1,1,0
17,13,1,-1,0
17,14,0.7194445,1,0
17,15,0.6083333,-1,0
17,16,1,1,0
17,17,1,1,0
17,18,0,-1,0
17,19,0,0,0
17,20,0.1361111,1,0
17,21,0.005555556,-1,1
17,22,1,-1,0
17,23,0.1416667,0,0
17,24,1,-1,0
17,25,0.05555556,1,1
17,26,0,-1,0
17,27,0,-1,0
17,28,0.4638889,-1,0
17,29,0.07486115,-1,0
17,30,0.425,0,0
17,31,1,1,1
17,32,0.8916667,1,1
17,33,0.7805555,1,1
17,34,0,-1,0
17,35,1,-1,1
17,36,0.8416666,0,0
17,37,0.8583333,0,0
17,38,0.4527778,-1,0
17,39,0.4833333,-1,0
17,40,0.7916667,0,0
17,41,0.7470834,1,1
17,42,0,1,0
17,43,0,0,0
17,44,0.825,0,0
17,45,0.1111111,0,0
17,46,0.9916667,-1,1
17,47,0.6166667,1,0
17,48,0.8722222,0,0
17,49,0.4861111,1,0
17,50,0,1,0
17,51,1,1,1
17,52,0.1472222,-1,0
17,53,0.7833334,1,1
17,54,0.8583333,1,0
17,55,1,1,0
17,56,0.8333333,-1,1
17,57,0,1,0
17,58,0.6722222,-1,0
17,59,0,0,0
17,60,0.3055556,0,0
17,61,0.4333333,-1,0
17,62,0,1,1
17,63,0.8444445,1,1
17,64,1,1,1
17,65,0.7944444,-1,0
17,66,1,-1,0
17,67,0.6944444,-1,0
17,68,0,1,1
17,69,0.4222222,1,1
17,70,0.1777778,-1,0
17,71,0.725,-1,0
17,72,0,1,1
17,73,1,-1,1
17,74,1,1,0
17,75,0.8166667,1,1
17,76,1,1,1
17,77,1,1,1
17,78,0.9916667,0,0
17,79,0.5222222,-1,0
17,80,0.5054167,1,0
17,81,0,-1,0
17,82,0.4333333,-1,0
17,83,0.4722222,0,0
17,84,0,0,0
17,85,0.4888889,1,1
17,86,0,1,0
17,87,1,1,0
17,88,0.9055555,-1,0
17,89,1,0,0
17,90,0.06666667,-1,0
17,91,0.4888889,1,0
17,92,0.8804167,1,0
17,93,0,-1,0
17,94,0.8972222,-1,0
17,95,0.8805556,1,0
17,96,0.9305556,-1,0
17,97,0.05,-1,0
17,98,0.8555555,0,0
17,99,0.9083334,0,0
17,100,0.8916667,1,0
17,101,0,1,0
17,102,0,-1,0
17,103,0.7861111,1,1
17,104,0.8081945,1,1
17,105,0,-1,0
17,106,0.4638889,0,0
17,107,0.8916667,1,1
17,108,0,0,0
17,109,0,0,0
17,110,0,0,0
17,111,1,1,0
17,112,1,0,0
17,113,1,1,1
17,114,0.825,1,1
17,115,0.5027778,-1,0
17,116,1,1,0
17,117,0.05833333,-1,0
17,118,0.04722222,-1,0
17,119,0,1,1
17,120,0,1,1
17,121,0.825,1,1
17,122,1,-1,0
17,123,0,-1,0
17,124,0.8,1,1
17,125,0.825,-1,1
17,126,0,1,1
17,127,0,-1,0
17,128,0,-1,1
17,129,0,1,0
17,130,0.8277778,1,1
17,131,1,-1,1
17,132,0,-1,1
17,133,0.8472222,-1,0
17,134,0,1,0
17,135,0,1,1
17,136,0.9166667,1,0
17,137,0.9083334,1,1
