Participant,Temperature,Duration,Location,,,,,
17,-12,1,0.75,,1,1,-1,0
17,-12,1,0.75,,2,0.8138889,-1,0
17,6,0.5,0,,3,0.1583333,1,1
17,0,0.1,1,,4,1,0,0
17,-12,1,0.5,,5,0.2861111,-1,0
17,-12,1,1,,6,1,1,0
17,-15,1,0.75,,7,0.7666667,-1,0
17,-15,1,1,,8,1,-1,1
17,-15,0.1,1,,9,0.9333333,-1,0
17,-15,0.1,0.5,,10,0.9555556,-1,0
17,6,0.5,0.75,,11,1,1,0
17,9,0.1,0.75,,12,1,1,0
17,-12,0.5,0.5,,13,1,-1,0
17,6,0.1,0.75,,14,0.7194445,1,0
17,-15,0.1,0,,15,0.6083333,-1,0
17,9,0.5,1,,16,1,1,0
17,6,0.1,1,,17,1,1,0
17,-15,1,0,,18,0,-1,0
17,0,1,0.25,,19,0,0,0
17,9,0.5,0.25,,20,0.1361111,1,0
17,-12,1,0,,21,0.005555556,-1,1
17,0,0.1,1,,22,1,-1,0
17,0,0.1,0,,23,0.1416667,0,0
17,-12,0.5,0.75,,24,1,-1,0
17,6,1,0.25,,25,0.05555556,1,1
17,-15,0.1,0,,26,0,-1,0
17,-15,1,0,,27,0,-1,0
17,-12,0.1,0,,28,0.4638889,-1,0
17,-15,0.5,0,,29,0.07486115,-1,0
17,0,0.1,0.5,,30,0.425,0,0
17,6,1,1,,31,1,1,1
17,9,0.5,0.75,,32,0.8916667,1,1
17,6,1,0.5,,33,0.7805555,1,1
17,-12,0.5,0,,34,0,-1,0
17,-15,1,1,,35,1,-1,1
17,0,1,0.5,,36,0.8416666,0,0
17,0,0.5,0.75,,37,0.8583333,0,0
17,-12,1,0.5,,38,0.4527778,-1,0
17,-15,1,0.25,,39,0.4833333,-1,0
17,0,0.5,0.75,,40,0.7916667,0,0
17,6,1,0.5,,41,0.7470834,1,1
17,6,0.1,0,,42,0,1,0
17,0,0.1,0,,43,0,0,0
17,0,0.1,0.75,,44,0.825,0,0
17,0,0.1,0,,45,0.1111111,0,0
17,-15,0.1,0.75,,46,0.9916667,-1,1
17,9,0.1,0.5,,47,0.6166667,1,0
17,-12,0.5,1,,48,0.8722222,0,0
17,6,0.1,0.5,,49,0.4861111,1,0
17,9,1,0,,50,0,1,0
17,6,0.5,0.75,,51,1,1,1
17,-15,0.1,0.25,,52,0.1472222,-1,0
17,9,0.1,1,,53,0.7833334,1,1
17,6,1,1,,54,0.8583333,1,0
17,9,0.1,1,,55,1,1,0
