Participant,Temperature,Duration,Location
23,-15,0.1,0.75
23,-15,1.0,0.0
23,-15,1.0,0.5
23,0,1.0,0.25
23,-15,1.0,0.25
23,9,2.0,0.5
23,-15,1.0,0.5
23,0,2.0,0.25
23,9,0.1,0.0
23,9,1.0,0.5
23,0,1.0,0.75
23,0,1.0,0.0
23,0,2.0,0.5
23,-15,1.0,0.0
23,-15,2.0,1.0
23,0,1.0,0.0
23,-15,0.1,0.0
23,0,1.0,0.25
23,0,2.0,0.25
23,-15,1.0,0.75
23,-15,0.1,0.25
23,0,1.0,1.0
23,0,0.1,0.0
23,0,0.1,0.0
23,-15,0.1,0.5
23,-15,2.0,0.0
23,9,1.0,0.25
23,0,1.0,0.0
23,-15,0.1,0.5
23,9,2.0,0.25
23,9,0.1,1.0
23,9,2.0,0.5
23,9,1.0,1.0
23,0,0.1,0.25
23,9,2.0,0.0
23,9,2.0,0.5
23,-15,0.1,1.0
23,0,2.0,0.0
23,9,0.1,0.25
23,9,0.1,0.25
23,9,2.0,1.0
23,9,2.0,0.75
23,9,1.0,0.25
23,-15,2.0,0.5
23,-15,1.0,1.0
23,0,0.1,1.0
23,0,1.0,0.5
23,0,2.0,1.0
23,0,0.1,0.5
23,9,1.0,0.75
23,9,1.0,0.75
23,0,0.1,0.75
23,-15,1.0,0.5
23,-15,2.0,1.0
23,0,2.0,1.0
23,-15,0.1,0.5
23,9,2.0,0.25
23,0,2.0,0.0
23,0,0.1,0.75
23,0,2.0,0.0
23,9,0.1,0.75
23,0,0.1,0.0
23,-15,0.1,0.25
23,-15,0.1,1.0
23,-15,2.0,0.5
23,9,0.1,1.0
23,-15,2.0,0.25
23,-15,0.1,0.75
23,0,2.0,0.75
23,9,0.1,1.0
23,9,1.0,0.5
23,9,2.0,1.0
23,9,0.1,0.5
23,-15,2.0,1.0
23,9,0.1,0.75
23,9,1.0,0.0
23,-15,2.0,0.0
23,-15,2.0,0.5
23,-15,0.1,0.0
23,-15,0.1,0.25
23,0,0.1,0.25
23,9,2.0,0.0
23,-15,0.1,1.0
23,9,2.0,0.0
23,0,1.0,0.25
23,-15,2.0,0.75
23,-15,0.1,0.0
23,0,1.0,1.0
23,0,2.0,0.75
23,-15,1.0,0.75
23,0,0.1,0.25
23,0,0.1,0.75
23,9,0.1,0.5
23,-15,1.0,0.0
23,-15,1.0,0.75
23,9,2.0,0.75
23,-15,2.0,0.75
23,9,2.0,0.25
23,-15,1.0,1.0
23,-15,1.0,0.25
23,-15,1.0,0.25
23,9,1.0,0.0
23,-15,0.1,0.75
23,-15,2.0,0.75
23,0,2.0,1.0
23,0,1.0,0.75
23,0,2.0,0.25
23,0,1.0,1.0
23,9,0.1,0.0
23,0,2.0,0.75
23,-15,2.0,0.0
23,0,0.1,1.0
23,0,0.1,0.5
23,9,1.0,1.0
23,9,0.1,0.25
23,9,0.1,0.5
23,9,2.0,1.0
23,-15,1.0,1.0
23,9,1.0,0.25
23,9,1.0,1.0
23,9,0.1,0.75
23,-15,2.0,0.25
23,0,0.1,1.0
23,0,1.0,0.5
23,0,0.1,0.5
23,0,2.0,0.5
23,9,2.0,0.75
23,9,1.0,0.0
23,0,2.0,0.5
23,9,1.0,0.75
23,-15,2.0,0.25
23,0,1.0,0.5
23,9,1.0,0.5
23,9,0.1,0.0
23,0,1.0,0.75
