participantNumber,trialNumber,thermal,clarity,location
21,1,1,1,0.7055556
21,2,1,3,0.1166667
21,3,0,2,0.1027778
21,4,1,1,0.04444445
21,5,1,2,1
21,6,0,3,1
21,7,-1,1,0.7583333
21,8,1,3,0
21,9,0,3,0.4666667
21,10,0,2,1
21,11,0,3,0.4416667
21,12,1,1,0.4359722
21,13,1,2,0.4694445
21,14,0,1,0.45
21,15,0,2,0.4720834
21,16,-1,3,1
21,17,1,2,0.1638889
21,18,-1,3,1
21,19,0,1,0.48875
21,20,0,2,0.4248611
21,21,0,0,0
21,22,0,2,0.2416667
21,23,0,1,0.6304167
21,24,-1,1,0.2222222
21,25,-1,3,1
21,26,-1,2,0.2361111
21,27,-1,2,0.8833333
21,28,0,1,0.3859723
21,29,0,1,0.2194444
21,30,0,2,0.3498611
21,31,1,2,0.6470833
21,32,0,0,0.4720834
21,33,0,3,1
21,34,0,2,0.25
21,35,1,3,1
21,36,0,2,0.4027778
21,37,1,3,1
21,38,0,2,0.6472222
21,39,1,2,0.03611111
21,40,0,2,0.7470834
21,41,0,2,0.9277778
21,42,-1,2,0.4694445
21,43,0,2,0
21,44,0,0,0.4526389
21,45,0,0,0.5055556
21,46,-1,1,0.3527778
21,47,-1,1,0.4861111
21,48,0,0,0.51375
21,49,1,3,0.2305555
21,50,-1,2,0.4470834
21,51,-1,1,0.3444445
21,52,0,1,0.3972222
21,53,0,2,0.7444444
21,54,1,3,0
21,55,1,3,0
21,56,0,1,0.4998612
21,57,0,1,0.4665278
21,58,0,2,0.2720834
21,59,0,2,0.4220834
21,60,0,2,0.1638889
21,61,0,0,0.5165278
21,62,-1,1,0.9054167
21,63,0,2,0.7220834
21,64,1,2,0.1665278
21,65,1,3,0
21,66,0,2,0.9220834
21,67,0,2,0.7720833
21,68,-1,2,0.8526389
21,69,0,3,0.4970834
21,70,1,1,0.4081945
21,71,1,1,0.5776389
21,72,1,2,0.4026389
21,73,1,2,0
21,74,-1,1,0.3554167
21,75,0,3,0.9970834
21,76,0,2,0.8915278
21,77,0,1,0.6276389
21,78,0,0,0.5165278
21,79,0,0,0.4970834
21,80,1,1,0.8443056
21,81,0,0,0.5359722
21,82,1,3,1
21,83,0,3,1
21,84,1,2,1
21,85,0,0,1
21,86,1,2,0.5276389
21,87,0,1,0.4415278
21,88,0,3,0.98875
21,89,0,2,1
21,90,0,2,0.3109722
21,91,1,3,0.8915278
21,92,-1,2,0.8304167
21,93,1,3,1
21,94,0,0,0.5804167
21,95,0,0,0.6804167
21,96,-1,3,0.05277778
21,97,-1,2,0.6054167
21,98,-1,2,0.1776389
21,99,1,2,0.9470834
21,100,1,3,0.7609723
21,101,0,3,0.6193056
21,102,1,1,0.68875
21,103,0,2,0.51375
21,104,0,2,0.4859723
21,105,1,2,0.2998611
21,106,0,1,0.86375
21,107,0,2,0.1527778
21,108,-1,2,0.95
21,109,0,2,0.925
21,110,-1,2,0.9972222
21,111,1,2,1
21,112,-1,2,0.98875
21,113,0,1,0.9470834
21,114,0,1,0.76375
21,115,1,3,1
21,116,-1,3,1
21,117,0,3,0.9609722
21,118,1,3,0.9943056
21,119,0,2,0.6693056
21,120,-1,2,0.08611111
21,121,1,1,0.175
21,122,-1,2,0.9554167
21,123,1,3,0.3109722
21,124,-1,2,0.98875
21,125,0,0,0.3720834
21,126,1,3,0.9693056
21,127,0,1,0.5915278
21,128,-1,3,1
21,129,0,2,0.6776389
21,130,1,3,1
21,131,1,3,1
21,132,1,3,1
21,133,0,0,0.4248611
21,134,0,3,0.2081945
21,135,1,2,0.2083333
