participantNumber,trialNumber,feltThermal,feltLocation
3,1,-1,0.9609722
3,2,0,0.5027778
3,3,0,0
3,4,0,0
3,5,0,0.5248612
3,6,0,0.275
3,7,-1,0.9222222
3,8,1,0.3776389
3,9,-1,0.8359722
3,10,-1,0.5694444
3,11,0,0.3415278
3,12,1,0.1388889
3,13,-1,0.8859723
3,14,0,0.5415278
3,15,1,0.2944444
3,16,0,0.3859723
3,17,0,0.63875
3,18,0,0
3,19,-1,1
3,20,0,0.2859723
3,21,1,0.7944444
3,22,1,0.2194444
3,23,0,0.3970834
3,24,0,0.4804167
3,25,1,0.3138889
3,26,-1,0.8805556
3,27,1,0.5194445
3,28,0,0.4915278
3,29,0,0.71375
3,30,0,0.5609723
3,31,0,0.2554167
3,32,-1,0.8026389
3,33,1,0.8859723
3,34,-1,0.8665278
3,35,0,0.08875003
3,36,-1,0.8581945
3,37,1,0.5804167
3,38,-1,0.9055555
3,39,-1,0.6498612
3,40,-1,0.5109723
3,41,0,0.4415278
3,42,0,0.8304167
3,43,1,0.6665278
3,44,1,0.5331945
3,45,1,0.5831945
3,46,-1,0.88875
3,47,0,0.5359722
3,48,1,0.2081945
3,49,1,0.6720834
3,50,1,0.4415278
3,51,-1,0.9054167
3,52,0,0.5193056
3,53,0,0.2081945
3,54,0,0.6220834
3,55,1,0.7887501
3,56,-1,0.5720834
3,57,0,0.4831945
3,58,1,0.2359723
3,59,1,0.7581945
3,60,0,0.5026389
3,61,1,0.4526389
3,62,0,0.1415278
3,63,0,0.6193056
3,64,0,0.4776389
3,65,-1,1
3,66,-1,0.8943056
3,67,1,0.1693056
3,68,0,0.7304167
3,69,-1,0.9498612
3,70,-1,0.7887501
3,71,1,0.2276389
3,72,0,0.4804167
3,73,0,0.6915278
3,74,-1,0.8804167
3,75,-1,0.8054167
3,76,1,0.3554167
3,77,1,0.08055556
3,78,1,0.8665278
3,79,1,0.8804167
3,80,-1,0.9137501
3,81,0,0.6109723
3,82,0,0.3359722
3,83,-1,0.8804167
3,84,-1,0.6554167
3,85,1,0.5776389
3,86,1,0.6970834
3,87,0,0.26375
3,88,0,0.21375
3,89,1,0.6026389
3,90,-1,0.81375
3,91,1,0.5831945
3,92,0,0.4776389
3,93,1,0.7109722
3,94,0,0.5943056
3,95,0,0.6443056
3,96,-1,0.9081945
3,97,1,0.7720833
3,98,0,0.81375
3,99,1,0.2304167
3,100,-1,0.9165278
3,101,-1,0.7581945
3,102,0,0.5248612
3,103,1,0.6415278
3,104,1,0.2944444
3,105,1,0.88875
3,106,-1,0.8804167
3,107,0,0.4026389
3,108,-1,0.8304167
3,109,-1,0.86375
3,110,-1,0.6776389
3,111,1,0.5109723
3,112,0,0.8193056
3,113,-1,0.7720833
3,114,-1,0.4443056
3,115,1,0.2193056
3,116,0,0.1555556
3,117,-1,0.8498611
3,118,-1,0.7776389
3,119,-1,0.6109723
3,120,1,0.68875
3,121,1,0.7304167
3,122,-1,0.6054167
3,123,1,0.7998611
3,124,1,0.8304167
3,125,0,0.4693056
3,126,-1,0.8748611
3,127,0,0.56375
3,128,0,0.4526389
3,129,-1,0.8859723
3,130,0,0.7248611
3,131,-1,0.86375
3,132,-1,0.7665278
3,133,1,0.7526389
3,134,0,0.4304167
3,135,0,0.4998612
3,136,1,0.5387501
3,137,0,0.48875
3,138,0,0.3970834
3,139,-1,0.9109722
3,140,-1,0.7609723
3,141,-1,0.7887501
3,142,1,0.4443056
3,143,-1,0.8276389
3,144,0,0.2581945
3,145,0,0.2915278
3,146,1,0.4555556
3,147,1,0.7026389
3,148,-1,0.6776389
3,149,1,0.4109723
3,150,-1,0.6581945
3,151,1,0.7331945
3,152,1,0.2915278
3,153,-1,0.6109723
3,154,0,0.2694444
3,155,1,0.8581945
3,156,1,0.8470834
3,157,1,0.2748612
3,158,0,0.1165278
3,159,-1,0.81375
3,160,0,0.4220834
3,161,-1,0.8804167
3,162,-1,0.8748611
3,163,1,0.3220834
3,164,0,0.3776389
3,165,-1,0.8970833
3,166,-1,0.8970833
3,167,-1,0.7665278
3,168,0,0.36375
3,169,0,0.8193056
3,170,1,0.71375
3,171,-1,0.8609723
3,172,-1,0.8165278
3,173,1,0.7859722
3,174,1,0.2081945
3,175,1,0.2526389
3,176,-1,0.9304167
3,177,0,0.4248611
3,178,1,0.2193056
3,179,1,0.8831945
3,180,0,0.5193056
