participantNumber,trialNumber,feltThermal,feltLocation
7,14,1,1
7,15,0,0
7,16,1,1
7,17,-1,1
7,18,1,0.1214288
7,19,0,1
7,20,0,0.1524496
7,21,0,0.2872535
7,22,-1,1
7,23,0,0
7,24,1,0.8430074
7,25,1,0
7,26,1,0.2069671
7,27,1,0.1047468
7,28,-1,0.8089335
7,29,0,0.8682492
7,30,1,1
7,31,-1,0.9429562
7,32,0,1
7,33,0,0
7,34,1,0.2887441
7,35,0,0
7,36,-1,0
7,37,1,0.7703169
7,38,1,1
7,39,0,0
7,40,0,0.1206478
7,41,-1,0.8475505
7,42,0,0.1388204
7,43,0,1
7,44,-1,1
7,45,0,0.8543651
7,46,0,0.1728936
7,47,-1,0.8407359
7,48,-1,0.1274624
7,49,-1,0.6976267
7,50,0,0.8475501
7,51,-1,0.9066111
7,52,1,0.6090356
7,53,0,0.4454824
7,54,0,0.3296322
7,55,1,0.2622664
7,56,0,0.2137821
7,57,1,0.1706221
7,58,0,0.1623172
7,59,0,1
7,60,0,1
7,61,1,1
7,62,1,1
7,63,-1,1
7,64,1,0
7,65,0,0.1161045
7,66,0,0
7,67,1,0.795304
7,68,1,0.8770806
7,69,0,0.9020681
7,70,0,0.9270553
7,71,1,0.4000508
7,72,0,0.3841499
7,73,-1,1
7,74,0,0.1320058
7,75,-1,0.3864214
7,76,0,0.8816237
7,77,-1,0.2599948
7,78,0,0.1002035
7,79,1,0.8134766
7,80,1,0.1569929
7,81,-1,0.9868976
7,82,-1,1
7,83,-1,0.9838447
7,84,-1,0.5
7,85,1,0.8748091
7,86,-1,0.6930833
7,87,1,0.3182743
7,88,-1,1
7,89,0,0.5658756
7,90,0,1
7,91,0,0.8611797
7,92,1,0.08203126
7,93,1,1
7,94,-1,0.3750634
