Participant,Temperature,Duration,Location,,,,,,,,,#N/A,#N/A,,#N/A,#VALUE!,,,,
17,-15,0.1,0.25,,L3,Hot,,,,,,0.5,1,,0,0,,-15,0.22,0.14
17,-15,0.1,0.5,,L5,Hot,,,,,,1,1,,0,0,,-12,0.18,0.2
17,-15,0.1,1,,L5,Hot,,,,,,1,1,,1,0,,0,0.22,0.62
17,-15,0.1,0,,L4,Hot,,L1,0,,,0.75,1,,0,0,,6,0.16,0.44
17,-15,0.1,0.5,,L3,Hot,,L2,0.25,,,0.5,1,,1,0,,9,0.22,0.56
17,-15,0.1,0,,L4,Cold,,L3,0.5,,,0.75,-1,,0,1,,,,
17,-15,0.1,0.25,,L4,Cold,,L4,0.75,,,0.75,-1,,0,1,,0.1,0.2,0.44
17,-15,0.1,1,,L4,Cold,,L5,1,,,0.75,-1,,0,1,,0.5,0.22,0.4
17,-15,0.1,0.75,,L3,No,,,,,,0.5,0,,0,0,,1,0.14,0.38
17,-15,0.1,0.75,,L3,Cold,,Hot,1,,,0.5,-1,,0,1,,1.5,0.22,0.38
17,-15,0.5,0.5,,L4,Hot,,No,0,,,0.75,1,,0,0,,2,0.22,0.36
17,-15,0.5,1,,L1,No,,Cold,-1,,,0,0,,0,0,,,,
17,-15,0.5,0.25,,L3,Cold,,,,,,0.5,-1,,0,1,,L1,0.26,0.44
17,-15,0.5,0.25,,L3,Hot,,,,,,0.5,1,,0,0,,L2,0.4,0.42
17,-15,0.5,1,,L1,Hot,,,,,,0,1,,0,0,,L3,0.3,0.38
17,-15,0.5,0,,L3,Hot,,,,,,0.5,1,,0,0,,L4,0.02,0.4
17,-15,0.5,0,,L3,Cold,,,,,,0.5,-1,,0,1,,L5,0.02,0.32
17,-15,0.5,0.75,,L3,No,,,,,,0.5,0,,0,0,,,,
17,-15,0.5,0.75,,L3,Cold,,,,,,0.5,-1,,0,1,,,,
17,-15,0.5,0.5,,L3,No,,,,,,0.5,0,,1,0,,,,
17,-15,1,0.75,,L2,No,,,,,,0.25,0,,0,0,,,,
17,-15,1,0.5,,L3,Hot,,,,,,0.5,1,,1,0,,,,
17,-15,1,1,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1,0.25,,L2,Hot,,,,,,0.25,1,,1,0,,,,
17,-15,1,0.75,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1,0.5,,L3,Hot,,,,,,0.5,1,,1,0,,,,
17,-15,1,1,,L2,No,,,,,,0.25,0,,0,0,,,,
17,-15,1,0,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1,0.25,,L2,No,,,,,,0.25,0,,1,0,,,,
17,-15,1,0,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1.5,0.75,,L3,No,,,,,,0.5,0,,0,0,,,,
17,-15,1.5,0.25,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1.5,1,,L1,Hot,,,,,,0,1,,0,0,,,,
17,-15,1.5,0.25,,L2,Hot,,,,,,0.25,1,,1,0,,,,
17,-15,1.5,1,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1.5,0,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1.5,0.5,,L3,Hot,,,,,,0.5,1,,1,0,,,,
17,-15,1.5,0,,L3,Hot,,,,,,0.5,1,,0,0,,,,
17,-15,1.5,0.5,,L3,Hot,,,,,,0.5,1,,1,0,,,,
17,-15,1.5,0.75,,L2,Hot,,,,,,0.25,1,,0,0,,,,
17,-15,2,0,,L3,No,,,,,,0.5,0,,0,0,,,,
17,-15,2,0.75,,L2,Hot,,,,,,0.25,1,,0,0,,,,
