participantNumber,trialNumber,feltThermal,feltLocation
13,1,1,0
13,2,-1,0.9574938
13,3,0,0.8578617
13,4,1,0.1665379
13,5,-1,0.9595271
13,6,0,0.7033308
13,7,-1,0.7907622
13,8,0,0.8049957
13,9,1,0.9177606
13,10,-1,0
13,11,0,0
13,12,0,0.9310607
13,13,1,0.9818935
13,14,-1,0
13,15,-1,0
13,16,0,0.03233991
13,17,0,0.8822614
13,18,1,0.1726379
13,19,1,0.5975983
13,20,0,1
13,21,1,0.8476954
13,22,1,0
13,23,1,0.5
13,24,0,0.1125718
13,25,0,0.5
13,26,1,0
13,27,0,0
13,28,1,0
13,29,1,0.5
13,30,-1,0.2397369
13,31,1,1
13,32,1,0.5
13,33,0,0
13,34,1,0.8253291
13,35,1,0
13,36,-1,1
13,37,-1,0.5
13,38,0,0.2438036
13,39,1,0.8151624
13,40,-1,1
13,41,1,0
13,42,0,0.2417703
13,43,0,0.5
13,44,1,0
13,45,-1,1
13,46,1,1
13,47,-1,1
13,48,0,1
13,49,0,0
13,50,-1,1
13,51,-1,0
13,52,0,0
13,53,1,1
13,54,-1,1
13,55,0,0.5
13,56,1,0.1401053
13,57,-1,0
13,58,0,0
13,59,0,0.5
13,60,1,0.5
13,61,0,0.5
13,62,-1,0
13,63,0,0.245837
13,64,0,0.5
13,65,1,1
13,66,1,0
13,67,0,0.9351274
13,68,1,0.9615604
13,69,0,1
13,70,1,0.5
13,71,1,0.5
13,72,0,0.5
13,73,-1,0
13,74,0,1
13,75,-1,0
13,76,1,0.5
13,77,1,0.27227
13,78,0,0.6951974
13,79,1,0.5
13,80,-1,0.2438036
13,81,0,0.5
13,82,0,0.5
13,83,-1,0
13,84,1,1
13,85,0,0
13,86,0,0
13,87,1,0.2194039
13,88,-1,1
13,89,1,0.7846627
13,90,1,1
13,91,0,0.9981597
13,92,-1,1
13,93,0,0.09537261
13,94,1,1
13,95,-1,0.1767046
13,96,0,0
13,97,1,0
13,98,0,0
13,99,1,1
13,100,0,1
13,101,1,1
13,102,-1,1
13,103,-1,0.5
13,104,-1,1
13,105,1,1
13,106,0,0
13,107,0,0.5
13,108,1,1
13,109,0,1
13,110,1,1
13,111,1,0.5
13,112,0,1
13,113,-1,0.7643297
13,114,0,1
13,115,1,1
13,116,-1,0
13,117,1,0
13,118,1,0.7968627
13,119,1,0.8395621
13,120,-1,0.9574937
13,121,1,0.9676605
13,122,0,1
13,123,-1,0.1471381
13,124,-1,0.5
13,125,0,1
13,126,0,0
13,127,-1,0.7439967
13,128,1,0
13,129,1,1
13,130,-1,0
13,131,-1,0
13,132,0,1
13,133,-1,0
13,134,1,1
13,135,0,1
13,136,0,0.5
13,137,0,1
13,138,0,1
13,139,-1,1
13,140,-1,1
13,141,0,0
13,142,1,1
13,143,-1,0
13,144,0,1
13,145,-1,0.9574937
13,146,0,1
13,147,1,0
13,148,-1,0.09537221
13,149,-1,0.8151624
13,150,-1,0.2438036
13,151,0,0
13,152,0,1
13,153,0,0.9961265
13,154,0,1
13,155,1,0.5
13,156,1,0.8232953
13,157,-1,1
13,158,-1,1
13,159,1,0
13,160,1,0
13,161,0,0.9940935
13,162,-1,0.5
13,163,-1,0
13,164,1,0
13,165,0,1
13,166,-1,1
13,167,-1,0.5
13,168,-1,0
13,169,0,1
13,170,0,1
13,171,1,0.7704293
13,172,-1,1
13,173,1,0
13,174,0,1
13,175,0,0
13,176,1,1
13,177,0,1
13,178,-1,1
13,179,-1,0
13,180,1,1
