participantNumber,trialNumber,location,thermal
17,1,L3,Hot
17,2,L5,Hot
17,3,L5,Hot
17,4,L4,Hot
17,5,L3,Hot
17,6,L4,Cold
17,7,L4,Cold
17,8,L4,Cold
17,9,L3,No
17,10,L3,Cold
17,11,L4,Hot
17,12,L1,No
17,13,L3,Cold
17,14,L3,Hot
17,15,L1,Hot
17,16,L3,Hot
17,17,L3,Cold
17,18,L3,No
17,19,L3,Cold
17,20,L3,No
17,21,L2,No
17,22,L3,Hot
17,23,L3,Hot
17,24,L2,Hot
17,25,L3,Hot
17,26,L3,Hot
17,27,L2,No
17,28,L3,Hot
17,29,L2,No
17,30,L3,Hot
17,31,L3,No
17,32,L3,Hot
17,33,L1,Hot
17,34,L2,Hot
17,35,L3,Hot
17,36,L3,Hot
17,37,L3,Hot
17,38,L3,Hot
17,39,L3,Hot
17,40,L2,Hot
17,41,L3,No
17,42,L2,Hot
17,43,L2,No
17,44,L2,Hot
17,45,L2,No
17,46,L2,Hot
17,47,L2,Hot
17,48,L3,Hot
17,49,L2,Hot
17,50,L2,Hot
17,51,L2,Hot
17,52,L2,Hot
17,53,L2,Hot
17,54,L1,Hot
17,55,L2,Hot
17,56,L2,Hot
17,57,L3,No
17,58,L3,Cold
17,59,L2,No
17,60,L1,No
17,61,L1,Cold
17,62,L2,Cold
17,63,L2,Cold
17,64,L2,Hot
17,65,L1,No
17,66,L2,Cold
17,67,L3,Hot
17,68,L3,Hot
17,69,L3,Hot
17,70,L2,Cold
17,71,L3,No
17,72,L3,No
17,73,L1,No
17,74,L3,Hot
17,75,L2,Cold
17,76,L3,Cold
17,77,L1,Hot
17,78,L3,Hot
17,79,L2,Hot
17,80,L3,Hot
17,81,L3,Hot
17,82,L3,Hot
17,83,L2,No
17,84,L3,No
17,85,L3,No
17,86,L3,Hot
17,87,L2,Hot
17,88,L2,Hot
17,89,L1,No
17,90,L2,No
17,91,L1,Hot
17,92,L2,Hot
17,93,L2,Hot
17,94,L2,Hot
17,95,L3,Hot
17,96,L3,Hot
17,97,L2,No
17,98,L1,No
17,99,L2,Cold
17,100,L4,Cold
17,101,L2,Cold
17,102,L2,Hot
17,103,L2,No
17,104,L3,No
17,105,L3,No
17,106,L1,Cold
17,107,L3,Cold
17,108,L3,Hot
17,109,L3,No
17,110,L3,Hot
17,111,L3,Cold
17,112,L2,Hot
