participantNumber,trialNumber,location,thermal
17,1,L3,Hot
17,2,L5,Hot
17,3,L5,Hot
17,4,L4,Hot
17,5,L3,Hot
17,6,L4,Cold
17,7,L4,Cold
17,8,L4,Cold
17,9,L3,No
17,10,L3,Cold
17,11,L4,Hot
17,12,L1,No
17,13,L3,Cold
17,14,L3,Hot
17,15,L1,Hot
17,16,L3,Hot
17,17,L3,Cold
17,18,L3,No
17,19,L3,Cold
17,20,L3,No
17,21,L2,No
17,22,L3,Hot
17,23,L3,Hot
17,24,L2,Hot
17,25,L3,Hot
17,26,L3,Hot
17,27,L2,No
17,28,L3,Hot
17,29,L2,No
17,30,L3,Hot
17,31,L3,No
17,32,L3,Hot
17,33,L1,Hot
17,34,L2,Hot
17,35,L3,Hot
17,36,L3,Hot
17,37,L3,Hot
17,38,L3,Hot
17,39,L3,Hot
17,40,L2,Hot
17,41,L3,No
17,42,L2,Hot
17,43,L2,No
17,44,L2,Hot
17,45,L2,No
17,46,L2,Hot
17,47,L2,Hot
17,48,L3,Hot
17,49,L2,Hot
17,50,L2,Hot
17,51,L2,Hot
17,52,L2,Hot
17,53,L2,Hot
17,54,L1,Hot
17,55,L2,Hot
17,56,L2,Hot
17,57,L3,No
17,58,L3,Cold
17,59,L2,No
17,60,L1,No
17,61,L1,Cold
17,62,L2,Cold
17,63,L2,Cold
17,64,L2,Hot
17,65,L1,No
17,66,L2,Cold
17,67,L3,Hot
17,68,L3,Hot
17,69,L3,Hot
17,70,L2,Cold
17,71,L3,No
17,72,L3,No
17,73,L1,No
17,74,L3,Hot
17,75,L2,Cold
17,76,L3,Cold
17,77,L1,Hot
17,78,L3,Hot
17,79,L2,Hot
17,80,L3,Hot
17,81,L3,Hot
17,82,L3,Hot
17,83,L2,No
17,84,L3,No
17,85,L3,No
17,86,L3,Hot
17,87,L2,Hot
17,88,L2,Hot
17,89,L1,No
17,90,L2,No
17,91,L1,Hot
17,92,L2,Hot
17,93,L2,Hot
17,94,L2,Hot
17,95,L3,Hot
17,96,L3,Hot
17,97,L2,No
17,98,L1,No
17,99,L2,Cold
17,100,L4,Cold
17,101,L2,Cold
17,102,L2,Hot
17,103,L2,No
17,104,L3,No
17,105,L3,No
17,106,L1,Cold
17,107,L3,Cold
17,108,L3,Hot
17,109,L3,No
17,110,L3,Hot
17,111,L3,Cold
17,112,L2,Hot
17,113,L3,Cold
17,114,L2,No
17,115,L1,Cold
17,116,L1,No
17,117,L2,No
17,118,L1,No
17,119,L2,Cold
17,120,L2,Cold
17,121,L2,No
17,122,L2,Cold
17,123,L2,No
17,124,L2,No
17,125,L1,Hot
17,126,L2,No
17,127,L1,No
17,128,L2,Cold
17,129,L2,No
17,130,L2,No
17,131,L1,No
17,132,L1,No
17,133,L3,Cold
17,134,L3,No
17,135,L2,No
17,136,L3,No
17,137,L3,No
17,138,L3,No
17,139,L3,No
17,140,L1,Cold
17,141,L1,No
17,142,L1,No
17,143,L1,Cold
17,144,L1,No
17,145,L1,No
17,146,L2,No
17,147,L2,No
17,148,L1,No
17,149,L2,Cold
17,150,L2,No
17,151,L2,No
17,152,L2,No
17,153,L2,Cold
17,154,L2,Cold
17,155,L2,No
17,156,L2,Cold
17,157,L3,Hot
17,158,L2,Hot
17,159,L3,Hot
17,160,L2,Hot
17,161,L3,No
17,162,L3,No
17,163,L3,Hot
17,164,L3,No
17,165,L3,Hot
17,166,L3,Hot
17,167,L3,Hot
17,168,L3,No
17,169,L3,Cold
17,170,L3,No
17,171,L3,No
17,172,L3,Hot
17,173,L2,No
17,174,L3,No
17,175,L3,Hot
17,176,L2,Hot
17,177,L3,Hot
17,178,L3,Hot
17,179,L2,Hot
17,180,L2,No
17,181,L2,No
17,182,L1,Cold
17,183,L3,Cold
17,184,L2,Hot
17,185,L2,Hot
17,186,L2,Cold
17,187,L3,Hot
17,188,L1,Cold
17,189,L1,Hot
17,190,L2,Hot
17,191,L2,No
17,192,L1,Cold
17,193,L2,Cold
17,194,L1,Hot
17,195,L1,Hot
17,196,L1,Hot
17,197,L3,Cold
17,198,L3,Cold
17,199,L2,No
17,200,L2,No
17,201,L3,No
17,202,L2,Hot
17,203,L3,Hot
17,204,L3,Hot
17,205,L3,Hot
17,206,L3,Hot
17,207,L1,Hot
17,208,L1,Hot
17,209,L1,Hot
17,210,L2,Hot
17,211,L2,No
17,212,L2,Hot
17,213,L2,No
17,214,L2,No
17,215,L2,Hot
17,216,L1,Hot
17,217,L2,No
17,218,L2,No
17,219,L2,No
17,220,L1,Hot
17,221,L1,Hot
17,222,L2,No
17,223,L1,Hot
17,224,L2,No
17,225,L3,No
17,226,L3,No
17,227,L3,No
17,228,L2,Cold
17,229,L2,Hot
17,230,L2,Hot
17,231,L3,No
17,232,L2,Hot
17,233,L2,No
17,234,L2,No
17,235,L1,Cold
17,236,L1,Hot
17,237,L1,Hot
17,238,L1,Hot
17,239,L1,Hot
17,240,L1,Hot
17,241,L1,Hot
17,242,L1,Cold
17,243,L1,Hot
17,244,L1,Hot
17,245,L1,No
17,246,L1,No
17,247,L1,Cold
17,248,L1,Cold
17,249,L1,Hot
