participantNumber,trialNumber,location,thermal,feltIllusion
20,1,0.1833333,1,0
20,2,0.6944444,0,0
20,3,0,0,0
20,4,0.4665278,1,1
20,5,0.275,-1,0
20,6,0.5222222,-1,1
20,7,0,0,0
20,8,0.1583333,-1,0
20,9,0.4305556,-1,0
20,10,0.6388889,1,0
20,11,1,1,0
20,12,0.5694444,-1,1
20,13,0.2388889,-1,0
20,14,0,0,0
20,15,1,-1,1
20,16,1,-1,1
20,17,1,0,0
20,18,0.8555555,1,1
20,19,0.7805555,-1,0
20,20,1,-1,1
20,21,1,1,1
20,22,0,0,0
20,23,0.5638889,0,0
20,24,0.2861111,-1,1
20,25,0.2305555,-1,1
20,26,1,-1,1
20,27,1,1,1
20,28,0,-1,0
20,29,0.5194445,-1,0
20,30,0,1,1
20,31,0.4666667,-1,1
20,32,0.2194444,0,0
20,33,0.7611111,0,0
20,34,0.175,-1,0
20,35,0,0,0
20,36,0.7083333,-1,1
20,37,1,-1,1
20,38,0.6944444,1,1
20,39,0.4331945,1,1
20,40,0.7444444,0,0
20,41,0,0,0
20,42,1,-1,1
20,43,0.4804167,0,0
20,44,1,1,1
20,45,1,-1,1
20,46,0.8388889,1,1
20,47,0.7805555,1,0
20,48,0.7583333,0,0
20,49,0,1,1
20,50,1,0,0
20,51,0,0,0
20,52,1,-1,1
20,53,0,1,0
20,54,0.2415278,1,1
20,55,1,1,1
20,56,0.7777778,-1,1
20,57,0,1,1
20,58,1,1,0
20,59,0.45,-1,0
20,60,0.1277778,0,0
20,61,0.3943056,1,1
20,62,0.8305556,1,1
20,63,0.6305556,0,0
20,64,0.4444444,-1,1
20,65,0,0,0
20,66,1,-1,1
20,67,1,0,0
20,68,1,0,0
20,69,0.5361111,-1,1
20,70,0.2638889,0,0
20,71,0.3,-1,1
20,72,0,1,0
20,73,1,0,0
20,74,0,-1,0
20,75,1,1,1
20,76,1,0,0
20,77,0.2777778,0,0
20,78,0.8222222,1,1
20,79,0.4027778,1,1
20,80,0,1,1
20,81,0.7194445,1,1
20,82,0,1,1
20,83,0,1,0
20,84,0.5861111,0,0
20,85,0.2944444,-1,0
20,86,0,1,1
20,87,1,-1,1
20,88,1,0,0
20,89,0.4361111,-1,1
20,90,0.5222222,-1,1
20,91,0,0,0
20,92,0.5111111,1,0
20,93,0.6194444,0,0
20,94,0,1,1
20,95,0.6666667,0,0
20,96,0.4777778,0,0
20,97,1,1,1
20,98,0.3638889,-1,0
20,99,0.2,1,1
20,100,0.5777778,1,0
20,101,1,1,0
20,102,1,1,0
20,103,0.775,-1,1
20,104,0.06666667,1,1
20,105,0.7333333,1,1
20,106,0,0,0
20,107,1,0,0
20,108,0,1,0
20,109,1,1,0
20,110,0.6777778,-1,0
20,111,0,0,0
20,112,1,0,0
20,113,1,-1,1
20,114,0.8222222,1,1
20,115,0.9027778,-1,0
20,116,0.5138889,0,0
20,117,0.9916667,-1,1
20,118,0.3138889,0,0
20,119,0,-1,0
20,120,1,0,0
20,121,1,-1,1
20,122,1,-1,0
20,123,0.3361111,1,1
20,124,1,1,0
20,125,0.5416667,1,1
20,126,1,0,0
20,127,0.5694444,0,0
20,128,0.425,0,0
20,129,0.525,1,1
20,130,0,-1,0
20,131,0,1,0
20,132,0.4472222,1,1
20,133,1,0,0
20,134,0.2416667,1,1
20,135,0.1416667,1,0
20,136,0.8305556,0,0
20,137,0.2583333,1,0
20,138,0.3055556,-1,0
20,139,0.4083333,-1,1
20,140,0.4555556,0,0
20,141,0.8722222,1,1
20,142,0.7555556,1,0
20,143,0.8554167,-1,0
20,144,0.7027778,0,0
20,145,1,0,0
20,146,0.5194445,-1,1
20,147,1,0,0
20,148,1,0,0
20,149,0.5527778,-1,1
20,150,0.3304167,0,0
20,151,1,0,0
20,152,0,0,0
20,153,0.85,0,0
20,154,0.1472222,0,0
20,155,0.3861111,-1,1
20,156,0.6972222,0,0
20,157,0.6916667,-1,1
20,158,0.4277778,0,0
20,159,0.6333333,1,1
20,160,1,0,0
20,161,1,0,0
20,162,1,0,0
20,163,0.2694444,-1,0
20,164,0.2833333,-1,0
20,165,0.8638889,0,0
20,166,0.1861111,1,1
20,167,0,0,0
20,168,1,-1,1
20,169,0,-1,1
20,170,0.5833333,-1,0
20,171,0.85,-1,1
20,172,0.575,-1,1
20,173,0.2583333,-1,0
20,174,0.875,1,1
20,175,0.8333333,0,0
20,176,0.975,0,0
20,177,0.08055556,0,0
20,178,0.1944444,0,0
20,179,0,0,0
20,180,0.9222222,-1,1
