Measure,Temperature,Duration,Direction,Shapiro_W,p_value,Normality_OK
location1,-15,0.1,0,0.7024062011935575,1.7241893743154737e-15,0
location1,-15,0.1,1,0.7507950765978356,3.9293822015216125e-14,0
location1,-15,0.25,0,0.7018049219580309,1.6624409964846641e-15,0
location1,-15,0.25,1,0.7321095293946432,1.120504338693358e-14,0
location1,-15,0.5,0,0.6631355992582488,1.7677939612868532e-16,0
location1,-15,0.5,1,,1.0,1
location1,0,0.1,0,0.7078013366779315,2.397426110900247e-15,0
location1,0,0.1,1,0.7632961215890763,9.446105626453245e-14,0
location1,0,0.25,0,0.7163200823201907,4.071143019202811e-15,0
location1,0,0.25,1,0.7141344303380313,3.5501298639032222e-15,0
location1,0,0.5,0,0.7473692978630021,3.1067021920261435e-14,0
location1,0,0.5,1,0.7749213593412321,2.1999425274053854e-13,0
location1,9,0.1,0,0.6904319098768507,8.422051417330358e-16,0
location1,9,0.1,1,0.7320579578579421,1.1167285271581697e-14,0
location1,9,0.25,0,0.6681783570222427,2.3420140506327935e-16,0
location1,9,0.25,1,0.7264991636168091,7.782251268353245e-15,0
location1,9,0.5,0,,1.0,1
location1,9,0.5,1,0.7105365922682735,2.838272279843641e-15,0
location2,-15,0.1,0,,1.0,1
location2,-15,0.1,1,0.937738600758451,7.131264300019341e-06,0
location2,-15,0.25,0,,1.0,1
location2,-15,0.25,1,0.8970493335372667,2.1779759027149216e-08,0
location2,-15,0.5,0,0.8826566547284077,3.931753759940033e-09,0
location2,-15,0.5,1,,1.0,1
location2,0,0.1,0,0.9294457847422146,1.8982109713966134e-06,0
location2,0,0.1,1,,1.0,1
location2,0,0.25,0,,1.0,1
location2,0,0.25,1,,1.0,1
location2,0,0.5,0,,1.0,1
location2,0,0.5,1,0.8612938625362527,3.8947317108851686e-10,0
location2,9,0.1,0,0.946081280265181,2.9746544523593187e-05,0
location2,9,0.1,1,0.9474421601090155,3.793762149811992e-05,0
location2,9,0.25,0,0.8719792960873733,1.2003302949395487e-09,0
location2,9,0.25,1,0.8555577149034947,2.1781714008044423e-10,0
location2,9,0.5,0,,1.0,1
location2,9,0.5,1,,1.0,1
location3,-15,0.1,0,,1.0,1
location3,-15,0.1,1,,1.0,1
location3,-15,0.25,0,,1.0,1
location3,-15,0.25,1,,1.0,1
location3,-15,0.5,0,,1.0,1
location3,-15,0.5,1,,1.0,1
location3,0,0.1,0,,1.0,1
location3,0,0.1,1,,1.0,1
location3,0,0.25,0,,1.0,1
location3,0,0.25,1,,1.0,1
location3,0,0.5,0,,1.0,1
location3,0,0.5,1,,1.0,1
location3,9,0.1,0,,1.0,1
location3,9,0.1,1,,1.0,1
location3,9,0.25,0,,1.0,1
location3,9,0.25,1,,1.0,1
location3,9,0.5,0,,1.0,1
location3,9,0.5,1,,1.0,1
