Participant,Trial,Temperature,Duration,Direction,FeltThermal,numLocation,extraLocations,ThermalMatch,NumMatch,DirectionMatch,Location,FeltLocation,Displacement
1,1,9,0.1,0,1,3,,1,1,1,1,0.8415278,0.15847219999999995
1,1,9,0.1,0,1,3,,1,1,1,2,0.4859723,0.5140277
1,1,9,0.1,0,1,3,,1,1,1,3,0.1220834,0.1220834
1,2,0,0.25,1,0,3,,1,1,1,1,0.06944445,0.06944445
1,2,0,0.25,1,0,3,,1,1,1,2,0.43875,0.43875
1,2,0,0.25,1,0,3,,1,1,1,3,0.8554167,0.14458329999999997
1,3,0,0.1,1,0,3,,1,1,1,1,0.0,0.0
1,3,0,0.1,1,0,3,,1,1,1,2,0.51375,0.51375
1,3,0,0.1,1,0,3,,1,1,1,3,1.0,0.0
1,4,9,0.25,1,1,3,,1,1,1,1,0.04708337,0.04708337
1,4,9,0.25,1,1,3,,1,1,1,2,0.2804167,0.2804167
1,4,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,5,0,0.5,0,0,3,,1,1,1,1,1.0,0.0
1,5,0,0.5,0,0,3,,1,1,1,2,0.4748611,0.5251389
1,5,0,0.5,0,0,3,,1,1,1,3,0.0,0.0
1,6,-15,0.25,1,-1,3,,1,1,1,1,0.0,0.0
1,6,-15,0.25,1,-1,3,,1,1,1,2,0.5081945,0.5081945
1,6,-15,0.25,1,-1,3,,1,1,1,3,1.0,0.0
1,7,9,0.1,0,1,3,,1,1,1,1,1.0,0.0
1,7,9,0.1,0,1,3,,1,1,1,2,0.5693056,0.43069440000000003
1,7,9,0.1,0,1,3,,1,1,1,3,0.0,0.0
1,8,-15,0.5,0,-1,3,,1,1,1,1,1.0,0.0
1,8,-15,0.5,0,-1,3,,1,1,1,2,0.6193056,0.3806944
1,8,-15,0.5,0,-1,3,,1,1,1,3,0.0,0.0
1,9,-15,0.1,0,-1,3,,1,1,1,1,1.0,0.0
1,9,-15,0.1,0,-1,3,,1,1,1,2,0.7248611,0.27513889999999996
1,9,-15,0.1,0,-1,3,,1,1,1,3,0.0,0.0
1,10,0,0.1,1,0,3,,1,1,1,1,0.0,0.0
1,10,0,0.1,1,0,3,,1,1,1,2,0.5026389,0.5026389
1,10,0,0.1,1,0,3,,1,1,1,3,1.0,0.0
1,11,9,0.25,1,1,3,,1,1,1,1,0.0,0.0
1,11,9,0.25,1,1,3,,1,1,1,2,0.4277778,0.4277778
1,11,9,0.25,1,1,3,,1,1,1,3,1.0,0.0
1,12,0,0.25,0,0,3,,1,1,1,1,1.0,0.0
1,12,0,0.25,0,0,3,,1,1,1,2,0.5388889,0.4611111
1,12,0,0.25,0,0,3,,1,1,1,3,0.0,0.0
1,13,9,0.5,0,1,3,,1,1,1,1,1.0,0.0
1,13,9,0.5,0,1,3,,1,1,1,2,0.6194444,0.3805556
1,13,9,0.5,0,1,3,,1,1,1,3,0.0,0.0
1,14,0,0.25,1,0,3,,1,1,1,1,0.0,0.0
1,14,0,0.25,1,0,3,,1,1,1,2,0.3972222,0.3972222
1,14,0,0.25,1,0,3,,1,1,1,3,1.0,0.0
1,15,9,0.1,1,1,3,,1,1,1,1,0.0,0.0
1,15,9,0.1,1,1,3,,1,1,1,2,0.4027778,0.4027778
1,15,9,0.1,1,1,3,,1,1,1,3,1.0,0.0
1,16,-15,0.25,1,-1,3,,1,1,1,1,0.0,0.0
1,16,-15,0.25,1,-1,3,,1,1,1,2,0.4,0.4
1,16,-15,0.25,1,-1,3,,1,1,1,3,1.0,0.0
