Participant,Trial,Temperature,Duration,Direction,FeltThermal,numLocation,extraLocations,ThermalMatch,NumMatch,DirectionMatch,Location,FeltLocation,Displacement
1,1,9,0.1,0,1,3,,1,1,1,1,0.15847219999999995,0.15847219999999995
1,1,9,0.1,0,1,3,,1,1,1,2,0.5140277,0.5140277
1,1,9,0.1,0,1,3,,1,1,1,3,0.8779166,0.12208339999999995
1,2,0,0.25,1,0,3,,1,1,1,1,0.93055555,0.06944444999999999
1,2,0,0.25,1,0,3,,1,1,1,2,0.56125,0.43875
1,2,0,0.25,1,0,3,,1,1,1,3,0.14458329999999997,0.14458329999999997
1,3,0,0.1,1,0,3,,1,1,1,1,1.0,0.0
1,3,0,0.1,1,0,3,,1,1,1,2,0.48624999999999996,0.51375
1,3,0,0.1,1,0,3,,1,1,1,3,0.0,0.0
1,4,9,0.25,1,1,3,,1,1,1,1,0.95291663,0.04708336999999996
1,4,9,0.25,1,1,3,,1,1,1,2,0.7195833,0.28041669999999996
1,4,9,0.25,1,1,3,,1,1,1,3,0.0,0.0
1,5,0,0.5,0,0,3,,1,1,1,1,0.0,0.0
1,5,0,0.5,0,0,3,,1,1,1,2,0.5251389,0.5251389
1,5,0,0.5,0,0,3,,1,1,1,3,1.0,0.0
1,6,-15,0.25,1,-1,3,,1,1,1,1,1.0,0.0
1,6,-15,0.25,1,-1,3,,1,1,1,2,0.4918055,0.5081945
1,6,-15,0.25,1,-1,3,,1,1,1,3,0.0,0.0
1,7,9,0.1,0,1,3,,1,1,1,1,0.0,0.0
1,7,9,0.1,0,1,3,,1,1,1,2,0.43069440000000003,0.43069440000000003
1,7,9,0.1,0,1,3,,1,1,1,3,1.0,0.0
1,8,-15,0.5,0,-1,3,,1,1,1,1,0.0,0.0
1,8,-15,0.5,0,-1,3,,1,1,1,2,0.3806944,0.3806944
1,8,-15,0.5,0,-1,3,,1,1,1,3,1.0,0.0
1,9,-15,0.1,0,-1,3,,1,1,1,1,0.0,0.0
