Participant,Temperature,Duration,Location
14,-12,1.0,0.75
14,6,1.5,0.75
14,0,0.1,0.5
14,-15,1.0,0.5
14,0,2.0,0.0
14,-12,1.5,0.5
14,6,1.5,0.25
14,9,1.5,0.25
14,-12,1.5,0.25
14,9,0.5,0.0
14,-12,0.5,0.0
14,-15,0.1,0.75
14,-12,2.0,0.5
14,-15,0.5,0.5
14,-15,2.0,0.75
14,-15,1.0,0.5
14,-12,1.5,1.0
14,-12,0.1,0.75
14,9,0.5,0.75
14,0,2.0,0.5
14,6,0.5,0.25
14,9,1.5,1.0
14,-15,0.1,0.75
14,-12,0.1,0.5
14,6,1.0,0.25
14,9,0.1,0.0
14,6,1.0,0.75
14,0,0.5,0.0
14,9,0.5,0.0
14,6,0.1,0.25
14,-15,0.1,0.5
14,0,0.1,0.5
14,9,1.5,0.5
14,9,1.0,0.25
14,0,1.0,0.25
14,9,0.5,1.0
14,-12,0.5,0.75
14,-15,1.5,1.0
14,6,1.0,0.25
14,0,1.0,0.0
14,9,0.5,0.5
14,0,1.0,0.25
14,0,2.0,0.75
14,6,1.5,0.75
14,6,2.0,0.5
14,6,2.0,1.0
14,-12,0.1,0.25
14,9,1.5,0.25
14,-15,0.1,1.0
14,6,0.5,1.0
14,-15,0.5,0.25
14,-12,0.1,1.0
14,6,1.5,0.75
14,9,1.0,0.5
14,-15,1.0,0.25
14,-12,0.1,0.0
14,6,0.1,1.0
14,0,1.5,0.25
14,-12,1.0,0.5
14,9,1.0,0.25
14,-12,2.0,0.25
14,9,1.5,1.0
14,0,0.1,1.0
14,0,0.5,1.0
14,-15,2.0,0.5
14,0,2.0,0.25
14,6,0.5,0.75
14,-12,0.5,1.0
14,-12,2.0,0.0
14,-15,1.5,1.0
14,6,1.0,0.0
14,-15,2.0,1.0
14,6,1.0,1.0
14,-12,1.0,0.0
14,-12,0.5,1.0
14,0,0.5,0.75
14,-15,1.0,1.0
14,6,1.0,0.5
14,-12,0.1,0.25
14,0,1.5,0.0
14,6,2.0,0.0
14,-15,0.1,0.75
14,0,2.0,0.75
14,-15,0.1,1.0
14,-15,1.5,0.25
14,-12,0.1,0.0
14,-15,1.0,0.75
14,-15,0.5,1.0
14,-12,2.0,0.0
14,-15,2.0,0.0
14,9,0.5,0.5
14,-12,1.5,0.75
14,0,1.5,0.0
14,9,2.0,0.25
14,6,0.1,0.0
14,0,1.5,0.5
14,-12,1.5,1.0
14,-12,0.5,0.0
14,9,0.1,0.5
14,9,2.0,1.0
14,0,1.5,1.0
14,0,0.5,0.5
14,0,2.0,0.25
14,9,0.1,0.75
14,-12,1.0,0.5
14,9,1.0,0.0
14,0,1.5,0.75
14,9,0.5,0.75
14,6,1.0,1.0
14,-15,0.1,0.0
14,0,1.5,1.0
14,0,0.1,1.0
14,6,2.0,0.0
14,6,1.5,0.5
14,9,2.0,0.5
14,-12,0.5,0.25
14,0,0.5,0.75
14,6,0.1,0.5
14,-15,1.5,0.5
14,0,1.5,0.5
14,6,0.1,0.0
14,9,2.0,0.75
14,0,2.0,1.0
14,6,1.5,1.0
14,9,0.5,0.5
14,6,1.0,0.75
14,-15,1.0,0.0
14,0,1.0,0.25
14,6,1.0,0.0
14,-15,1.5,0.0
14,0,0.5,0.75
14,0,0.1,0.25
14,-12,1.0,1.0
14,6,0.1,0.25
14,6,0.5,1.0
14,-12,2.0,0.5
14,9,1.5,0.0
14,0,0.5,0.25
14,-15,2.0,1.0
14,6,2.0,0.75
14,-12,1.5,0.0
14,6,2.0,0.0
14,0,1.5,0.0
14,6,0.5,1.0
14,0,1.0,1.0
14,-15,1.0,0.5
14,6,0.1,1.0
14,-12,1.0,0.25
14,9,1.5,0.75
14,-12,1.0,0.75
14,9,1.5,0.5
14,0,0.5,0.0
14,0,0.1,1.0
14,0,0.1,0.75
14,0,0.1,0.75
14,-12,1.5,0.75
14,-15,0.1,0.25
14,-12,0.5,0.75
14,-15,1.0,0.0
14,0,1.5,0.5
14,-15,1.5,0.75
14,0,0.1,0.25
14,9,1.5,1.0
14,-12,1.5,0.5
14,-15,1.5,0.5
14,-12,0.1,0.75
14,9,1.0,1.0
14,0,1.0,1.0
14,9,0.1,1.0
14,0,1.0,0.0
14,-15,0.1,0.25
14,9,2.0,0.25
14,-12,2.0,0.5
14,9,1.5,0.25
14,-15,1.5,1.0
14,0,0.5,0.0
14,9,1.0,0.25
14,-12,1.0,0.25
14,0,1.5,0.75
14,6,0.5,0.5
14,-15,0.5,0.75
14,-12,1.5,0.25
14,-15,2.0,0.75
14,-12,1.0,0.25
14,6,2.0,1.0
14,0,0.1,0.0
14,-15,2.0,0.25
14,9,0.1,0.0
14,-15,0.1,1.0
14,-15,2.0,0.5
14,-12,1.5,0.0
14,-12,2.0,0.75
14,6,0.5,0.5
14,0,1.5,0.75
14,6,1.0,0.25
14,-15,0.5,1.0
14,6,1.0,0.5
14,-15,1.0,1.0
14,-15,1.0,1.0
14,6,0.1,0.75
14,9,0.1,0.25
14,-12,1.0,0.0
14,9,2.0,0.25
14,-12,2.0,0.75
14,0,0.5,0.5
14,9,0.1,0.0
14,6,0.5,0.5
14,9,0.1,1.0
14,0,1.0,0.75
14,-12,0.5,0.5
14,-12,2.0,1.0
14,0,0.1,0.25
14,9,1.0,0.5
14,-15,2.0,0.0
14,0,0.1,0.75
14,9,1.0,0.5
14,6,1.5,0.25
14,9,1.0,0.75
14,-15,0.5,0.0
14,6,2.0,0.25
14,9,1.0,1.0
14,-12,1.0,0.0
14,0,2.0,0.75
14,-12,1.5,0.5
14,-15,0.5,0.25
14,-12,1.5,1.0
14,9,2.0,0.0
14,-12,1.0,1.0
14,6,0.5,0.0
14,6,1.5,0.5
14,9,1.0,1.0
14,-12,1.5,0.0
14,-12,0.1,0.5
14,6,0.5,0.75
14,9,0.5,1.0
14,0,1.5,0.25
14,6,0.1,0.5
14,6,1.5,0.0
14,6,0.1,0.75
14,-15,2.0,0.25
14,-15,2.0,1.0
14,6,1.5,1.0
14,0,1.0,0.75
14,-15,1.0,0.25
14,6,2.0,0.5
14,0,0.1,0.0
14,-12,2.0,1.0
14,-12,0.1,1.0
14,-15,0.5,0.75
14,0,1.0,1.0
14,9,1.0,0.75
14,6,1.5,0.25
14,-12,0.5,0.75
14,0,2.0,1.0
14,6,0.1,0.0
14,9,0.1,0.25
14,-12,1.0,0.75
14,9,1.0,0.75
14,9,1.5,0.0
14,6,1.0,0.0
14,0,1.0,0.5
14,-12,2.0,1.0
14,6,0.1,0.5
14,-15,1.0,0.75
14,-12,0.5,0.5
14,9,1.5,0.5
14,-12,0.5,0.25
14,9,2.0,0.75
14,-15,1.5,0.5
14,9,0.5,0.75
14,-15,0.5,0.5
14,0,0.1,0.5
14,-12,1.0,1.0
14,-15,1.5,0.75
14,6,1.0,1.0
14,-15,1.0,0.25
14,0,2.0,1.0
14,0,2.0,0.5
14,-15,1.5,0.0
14,-12,0.1,0.25
14,-12,2.0,0.25
14,0,2.0,0.0
14,-15,1.5,0.75
14,-15,0.5,1.0
14,0,0.5,1.0
14,0,2.0,0.25
14,-15,0.5,0.75
14,0,2.0,0.5
14,-15,0.1,0.5
14,6,0.5,0.0
14,9,2.0,0.5
14,-12,1.5,0.75
14,9,1.0,0.0
14,-15,0.5,0.0
14,6,1.5,1.0
14,9,1.5,0.0
14,6,2.0,0.75
14,-15,1.5,0.0
14,-12,0.5,0.5
14,0,1.5,0.25
14,9,0.5,1.0
14,-15,0.1,0.0
14,-12,1.5,0.25
14,-12,0.1,1.0
14,9,0.5,0.25
14,0,0.5,1.0
14,0,1.0,0.0
14,9,0.1,0.5
14,-12,2.0,0.0
14,6,1.5,0.0
14,6,1.0,0.5
14,-15,2.0,0.75
