Participant,Temperature,Duration,Direction
5,9,0.2,0
5,6,0.5,1
5,9,0.5,1
5,6,0.3,1
5,0,0.4,0
5,9,0.4,0
5,0,0.3,1
5,6,0.1,1
5,0,0.2,1
5,9,0.5,1
5,-12,0.4,1
5,-12,0.2,0
5,-15,0.4,0
5,-12,0.5,1
5,6,0.1,0
5,9,0.4,0
5,6,0.4,0
5,0,0.5,0
5,9,0.3,1
5,-12,0.1,0
5,-15,0.5,1
5,-12,0.4,1
5,-15,0.1,1
5,0,0.2,1
5,0,0.1,1
5,6,0.5,0
5,0,0.3,1
5,6,0.1,0
5,-15,0.2,1
5,-15,0.1,0
5,-12,0.1,1
5,0,0.1,0
5,9,0.2,0
5,-15,0.4,0
5,-12,0.3,0
5,-15,0.1,0
5,-15,0.3,1
5,9,0.2,0
5,0,0.4,1
5,-15,0.3,1
5,9,0.2,1
5,0,0.4,0
5,6,0.1,0
5,9,0.1,1
5,-12,0.4,1
5,-15,0.2,1
5,0,0.2,1
5,-12,0.5,1
5,6,0.3,0
5,6,0.1,1
5,-15,0.2,0
5,-12,0.4,0
5,0,0.5,1
5,0,0.3,0
5,6,0.4,1
5,9,0.1,0
5,-12,0.1,0
5,-15,0.3,0
5,0,0.5,1
5,-12,0.5,0
5,0,0.4,1
5,-15,0.2,0
5,9,0.1,0
5,-12,0.2,1
5,6,0.2,1
5,0,0.5,0
5,0,0.5,0
5,-15,0.5,0
5,0,0.1,0
5,-12,0.2,0
5,0,0.1,0
5,-15,0.5,1
5,-12,0.3,1
5,6,0.4,0
5,9,0.1,1
5,-15,0.4,1
5,-12,0.5,1
5,-12,0.3,0
5,-12,0.2,0
5,6,0.5,1
5,0,0.3,0
5,-12,0.4,0
5,-15,0.2,1
5,-12,0.4,0
5,-15,0.2,0
5,-12,0.3,1
5,-15,0.4,1
5,9,0.5,0
5,0,0.1,1
5,6,0.4,1
5,6,0.3,0
5,6,0.4,0
5,-15,0.1,1
5,6,0.2,1
5,0,0.4,0
5,-15,0.1,1
5,9,0.5,1
5,9,0.5,0
5,6,0.2,0
5,9,0.4,1
5,-15,0.3,0
5,6,0.3,1
5,6,0.3,0
5,9,0.5,0
5,-12,0.3,1
5,6,0.2,1
5,9,0.3,1
5,-12,0.1,1
5,-12,0.2,1
5,9,0.3,0
5,6,0.2,0
5,-12,0.1,0
5,-15,0.3,0
5,6,0.5,0
5,9,0.3,0
5,9,0.4,1
5,-15,0.5,1
5,-15,0.4,1
5,-12,0.2,1
5,6,0.2,0
5,-12,0.1,1
5,9,0.1,1
5,-15,0.3,1
5,0,0.4,1
5,0,0.2,0
5,0,0.1,1
5,0,0.2,0
5,9,0.4,1
5,9,0.1,0
5,0,0.5,1
5,6,0.5,1
5,6,0.1,1
5,6,0.4,1
5,6,0.5,0
5,-15,0.1,0
5,9,0.2,1
5,0,0.3,0
5,-12,0.5,0
5,9,0.3,0
5,0,0.2,0
5,9,0.3,1
5,9,0.2,1
5,9,0.4,0
5,-15,0.5,0
5,-15,0.4,0
5,6,0.3,1
5,0,0.3,1
5,-12,0.3,0
5,-12,0.5,0
5,-15,0.5,0
