Participant,Temperature,Duration,Direction
8,9,0.25,1
8,0,0.5,0
8,0,0.5,0
8,0,0.25,0
8,-15,0.25,0
8,-15,0.1,0
8,-15,0.1,0
8,0,0.1,0
8,9,0.25,1
8,-15,0.25,1
8,-15,0.5,1
8,0,0.1,0
8,-15,0.25,0
8,-15,0.1,0
8,0,0.5,1
8,0,0.5,1
8,9,0.1,0
8,9,0.1,1
8,9,0.1,0
8,0,0.25,1
8,-15,0.5,1
8,9,0.25,1
8,9,0.25,0
8,0,0.25,0
8,-15,0.5,0
8,9,0.5,0
8,9,0.5,1
8,9,0.5,0
8,0,0.1,1
8,-15,0.25,1
8,0,0.5,1
8,0,0.25,0
8,0,0.1,0
8,0,0.1,1
8,-15,0.5,1
8,9,0.1,0
8,-15,0.1,1
8,-15,0.1,1
8,9,0.1,1
8,-15,0.25,0
8,0,0.25,1
8,9,0.5,0
8,0,0.25,1
8,0,0.5,0
8,-15,0.5,0
8,9,0.25,0
8,9,0.25,0
8,9,0.5,1
8,9,0.5,1
8,-15,0.1,1
8,0,0.1,1
8,9,0.1,1
8,-15,0.25,1
8,-15,0.5,0
