participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
6,1,0,2,0.8415955,0.2743033
6,2,0,3,0.8903948,0.8903948,0.1706046
6,3,0,4,0.1604379,0.1604379,0.1604379,0.8720948
6,4,1,4,0.880228,0.880228,0.880228,0.1807713
6,5,-1,3,0.111639,0.111639,0.8822619
6,6,-1,3,0.8883615,0.8883615,0.117739
6,7,0,4,0.8822615,0.8822615,0.8822615,0.1340048
6,8,-1,4,0.8741285,0.8741285,0.8741285,0.1360386
6,9,0,4,0.8404955,0.8404955,0.8404955,0.1247723
6,10,-1,4,0.8903948,0.8903948,0.8903948,0.1380715
6,11,0,4,0.1380715,0.1380715,0.1380715,0.8924276
6,12,-1,4,0.1604383,0.1604383,0.1604383,0.8558288
6,13,0,4,0.1665379,0.1665379,0.1665379,0.8192286
6,14,1,4,0.9055611,0.9055611,0.9055611,0.1207051
6,15,1,4,0.8842947,0.8842947,0.8842947,0.1075717
6,16,1,4,0.1665379,0.1665379,0.1665379,0.8720946
6,17,0,4,0.09537221,0.09537221,0.09537221,0.8985276
6,18,-1,4,0.8822613,0.8822613,0.8822613,0.115705
6,19,1,4,1,1,1,0
6,20,1,4,1,1,1,0
6,21,0,4,0,0,0,1
6,22,0,4,0,0,0,1
6,23,1,4,1,1,1,0
6,24,-1,4,1,1,1,0
6,25,0,4,0,0,0,1
6,26,1,4,0,0,0,1
6,27,1,3,0.07300633,0.07300633,0.9473274
6,28,-1,3,0.941227,0.941227,0.0933388
6,29,1,3,0.9025947,0.9025947,0.08723954
6,30,-1,3,0.906661,0.906661,0.09740546
6,31,1,3,0.09537261,0.09537261,0.9574941
6,32,1,3,0.09223889,0.09223889,0.8750614
6,33,-1,3,0.941227,0.941227,0.007939612
6,34,0,3,0.9005615,0.9005615,0.09943921
6,35,1,3,0.9513938,0.9513938,0.0160735
6,36,1,3,0.8964943,0.8964943,0.1319719
6,37,0,3,0.9310608,0.9310608,0.09943926
6,38,1,3,0.0628396,0.0628396,0.8964947
6,39,0,3,0.8720947,0.8720947,0.07707203
6,40,0,3,0.08723888,0.08723888,0.8842942
6,41,0,3,0.9005614,0.9005614,0.09833889
6,42,0,3,0.05877288,0.05877288,0.9371606
6,43,1,3,1,1,0
6,44,1,3,0.9107277,0.9107277,0
6,45,0,3,0.9046278,0.9046278,0.1238386
6,46,0,3,0.08723927,0.08723927,0.9188611
6,47,1,3,0.0974055,0.0974055,0.906661
6,48,0,3,0.07910591,0.07910591,0.8842947
6,49,1,3,0.9188606,0.9188606,0.04657277
6,50,1,3,0.9656271,0.9656271,0
6,51,1,3,0.06893963,0.06893963,0.892428
6,52,-1,3,0.0892726,0.0892726,0.9412279
6,53,1,3,0.9656272,0.9656272,0.1157055
6,54,-1,3,0.06893958,0.06893958,0.9371606
6,55,0,3,0.9096278,0.9096278,0
6,56,0,3,0.9981601,0.9981601,0
6,57,0,3,0,0,1
6,58,0,3,1,1,0
6,59,0,3,0,0,1
6,60,0,3,1,1,0
6,61,0,3,0,0,1
6,62,0,3,0,0,1
6,63,-1,3,0,0,1
6,64,0,3,0,1,0
6,65,0,3,1,1,0
6,66,1,3,0,0,1
6,67,-1,3,1,1,0
6,68,0,3,0,0,1
6,69,0,3,1,1,0
6,70,0,3,1,1,0
6,71,1,3,1,1,0
6,72,-1,3,0,0,1
6,73,1,3,1,1,0
6,74,0,3,0,0,1
6,75,0,3,0,0,1
6,76,0,3,1,1,0
6,77,0,3,1,1,0
6,78,0,3,1,1,0
6,79,1,3,0,0,1
6,80,0,3,0,0,1
6,81,0,3,0,0,1
6,82,0,3,0,0,1
6,83,0,3,1,1,0
6,84,1,3,0,0,1
6,85,-1,3,0,0,1
6,86,1,3,1,1,0
6,87,1,3,0,0,1
6,88,0,3,0,0,1
6,89,0,3,1,1,0
6,90,1,3,0,0,1
6,91,1,3,0,0,1
6,92,1,3,0,0,1
6,93,1,3,1,1,0
6,94,0,3,0,0,1
6,95,0,3,0,0,1
6,96,1,3,0,0,1
6,97,0,3,0,0,1
6,98,0,3,1,1,0
6,99,-1,3,0,0,0.957687
6,100,1,3,0,0,1
6,101,1,3,1,1,0
6,102,0,3,0,0,1
6,103,-1,3,0,0,1
6,104,1,3,0,0,1
6,105,0,3,0,0,1
6,106,1,3,0,0,1
6,107,-1,3,1,1,0
6,108,0,3,0,0,1
6,109,1,2,0,0
6,110,1,3,0.9715337,0.9715337,0
6,111,0,3,0,0,1
6,112,-1,3,0,0,1
6,113,1,3,0,0,1
6,114,0,3,0,0,1
6,115,0,3,1,1,0
6,116,-1,3,0,0,1
6,117,-1,3,0,0,1
6,118,1,3,0,0,1
6,119,-1,3,1,1,0
6,120,0,3,1,1,0
6,121,1,3,1,1,0
6,122,1,3,1,1,0
6,123,1,3,0,0,1
6,124,0,3,1,1,0
6,125,0,3,0,0,1
6,126,1,3,1,1,0
6,127,-1,3,0,0,1
6,128,0,3,1,1,0
6,129,-1,3,1,1,0
6,130,0,3,1,1,0
6,131,0,3,1,1,0
6,132,0,3,1,1,0
6,133,-1,3,1,1,0
6,134,1,3,1,1,0
6,135,0,3,1,1,0
6,136,-1,3,0,0,1
6,137,0,3,1,1,0
6,138,0,3,0,0,1
6,139,0,3,0,0,1
6,140,0,3,0,0,1
6,141,-1,3,1,1,0
6,142,1,3,1,1,0
6,143,1,3,0,0,1
6,144,1,3,1,1,0
6,145,1,3,1,1,0
6,146,0,3,1,1,0
6,147,-1,3,1,1,0
6,148,0,3,1,1,0
6,149,1,3,1,1,0
6,150,1,3,0,0,1
6,151,0,3,1,1,0
6,152,1,3,0,0,1
6,153,-1,3,0,0,1
6,154,0,3,0,0,1
6,155,0,3,0,0,1
6,156,1,3,1,1,0
6,157,0,3,0,0,1
6,158,1,3,1,1,0
6,159,1,3,0,0,1
6,160,0,3,0,0,1
6,161,1,3,0,0,1
6,162,0,3,1,1,0
6,163,0,3,1,1,0
6,164,0,3,0,0,1
6,165,-1,3,0,0,1
6,166,1,3,1,1,0
6,167,0,3,1,1,0
6,168,0,3,1,1,0
6,169,0,3,0,0,1
6,170,-1,3,0,0,1
6,171,0,3,1,1,0
6,172,1,3,0,0,1
6,173,1,3,0,0,1
6,174,1,3,0,0,1
6,175,0,3,0,0,1
6,176,0,3,1,1,0
6,177,1,3,0,0,1
6,178,0,3,1,1,0
6,179,1,3,1,1,0
6,180,0,3,0,0,1
