participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
8,1,1,2,0,1
8,2,0,2,0,1
8,3,1,3,0.006840297,0.006840297,0.9401271
8,4,0,3,1,0,0
8,5,0,3,0,0.9665601,0.9665601
8,6,1,3,0.0007402693,0,1
8,7,1,3,0.0007402693,0.0007402693,1
8,8,-1,3,0.002773612,0,0.9848598
8,9,0,2,0.01700657,1
8,10,-1,3,0.9868931,0.9868931,0
8,11,0,3,0.02920663,0.02920663,0.9807935
8,12,0,3,0.02717329,0.02717329,1
8,13,0,3,0,0,1
8,14,1,3,0,0,0.9685935
8,15,0,3,0,0,0.9828265
8,16,0,3,0.002773612,1,1
8,17,1,3,0.01090698,0.01090698,0.9909598
8,18,1,3,0.9685935,0,0
8,19,0,3,0,0,0.9909598
8,20,0,3,1,1,0
8,21,-1,3,0.01903992,0.01903992,0.9624935
8,22,0,3,0,0,1
8,23,-1,3,0,0,0.9726602
8,24,-1,3,0.01700657,0.01700657,1
8,25,0,3,0.9787602,0.9787602,0.01497367
8,26,0,3,0.002773612,0.002773612,1
8,27,-1,3,0,0,0.9441938
8,28,0,3,0.9685935,0.9685935,0.01497367
8,29,1,3,0.9868931,0.9868931,0
8,30,1,3,1,1,0.03937291
8,31,-1,3,1,1,0
8,32,0,3,0.9868931,0.9868931,0
8,33,-1,3,0.9929932,0.9929932,0.01700657
8,34,-1,3,0.9828265,0.9828265,0.03530666
8,35,-1,3,0.9787602,0.9787602,0.006840297
8,36,1,3,0.9828265,0.9828265,0.0007402693
8,37,0,3,0.9848598,0.9848598,0
8,38,1,3,0.9807935,0.9807935,0.02920668
8,39,0,3,0.9624935,0.9624935,0.02107326
8,40,1,3,0.9868931,0.9868931,0
8,41,0,3,0.9807935,0.9807935,0
8,42,0,3,0.9909598,0.9909598,0
8,43,1,3,0.9868931,0.9868931,0
8,44,-1,3,0,0,0.9685935
8,45,-1,3,0.9828265,0.9828265,0.01090698
8,46,-1,3,1,1,0.01294032
8,47,0,3,0.002773612,1,1
8,48,0,4,0.01090698,0.01090698,0.01090698,1
8,49,-1,3,0,0,1
8,50,0,3,0.0007402693,0.0007402693,0.9767268
8,51,0,3,0.01700657,0.01700657,0.9929932
8,52,-1,3,0,0,0.9909598
8,53,0,3,1,1,0.01090698
8,54,1,3,0.01497367,0.01497367,0.9848598
8,55,1,3,0.04343959,0.04343959,1
8,56,-1,3,0.9868931,0.9868931,0
8,57,0,3,1,1,0
8,58,-1,3,0.004807009,0.004807009,0.9604601
8,59,0,3,0.9828265,0.9828265,0
8,60,0,3,1,1,0
8,61,-1,3,0.9421605,0.9421605,0.02920663
8,62,1,3,0,0,1
8,63,1,4,0.9624935,0.9624935,0.5700657,0.00887364
8,64,1,3,0.9990932,0.5700657,0.01294032
8,65,-1,3,0.002773612,0.0007402693,0.9889265
8,66,-1,3,0,0,1
8,67,0,3,0.9746935,0.9746935,0.006840297
8,68,1,3,1,1,0
8,69,1,3,0.9685935,0.9685935,0
8,70,0,2,0.004806954,0.004806954
8,71,-1,3,0.004806954,0.004806954,1
8,72,1,3,0,0,0.9706268
8,73,-1,3,0.02107326,0.02107326,1
8,74,0,3,0.9990932,0.9990932,0
8,75,0,2,0.00887364,0.00887364
8,76,1,3,0.0007402693,0.0007402693,0.9807935
8,77,-1,3,1,0.4887334,0.02107326
8,78,1,4,0.01497367,0.01497367,0.4684004,0.9970598
8,79,0,4,1,1,0.519233,0.01497367
8,80,-1,3,0.02107326,0.02107326,1
8,81,1,3,0,0,0.9787602
8,82,0,3,0.01903992,0.01903992,0.9848598
8,83,1,3,0.9665601,0.9665601,0
8,84,-1,3,0.9868931,0.5476994,0
8,85,-1,3,1,1,0.03734
8,86,0,3,0,0,1
8,87,1,3,1,1,0.00887364
8,88,-1,3,1,0.5314327,0.01294032
8,89,1,3,0,0,1
8,90,1,3,0.9136941,0.9136941,0
8,91,1,3,0,0.460267,0.9868931
8,92,1,3,0.9746935,0.5049996,0
8,93,0,3,0.9807935,0.9807935,0.01903992
8,94,1,3,0.01294032,0.01294032,0.5029668
8,95,1,3,0.9990932,0.4989001,0.01497367
8,96,-1,2,0.004806954,0.004806954
8,97,1,3,1,1,0.01294032
8,98,-1,3,0.05360631,0.05360631,0.9767268
8,99,1,3,0.9645268,0.9645268,0
8,100,-1,3,0.01903997,0.4928,1
8,101,0,3,1,0.565999,0.03123997
8,102,0,3,1,1,0.02107326
8,103,1,3,0.9990932,0.5436327,0.01090698
8,104,0,3,1,0.580232,0.01294032
8,105,1,3,0.004806954,0.5049996,1
8,106,-1,3,1,1,0.01903992
8,107,1,3,0.9889265,0.9889265,0
8,108,-1,3,0.03530666,0.311836,1
8,109,1,3,0.0231066,0.5110997,1
8,110,-1,3,0.9828265,0.519233,0.01294032
8,111,0,3,0.0231066,0.0231066,0.9909598
8,112,-1,3,0,0.5090663,1
8,113,1,3,1,0.533466,0
8,114,-1,3,0,0,0.9624935
8,115,0,3,0.0231066,0.0231066,0.9807935
8,116,0,3,0,0.372835,0.9604601
8,117,-1,3,1,0.5253331,0
8,118,1,3,0.9807935,0.01294032,0.01294032
8,119,0,3,1,1,0.02717329
8,120,0,4,1,1,0.5293993,0.02920663
8,121,0,3,0.01903992,0.4562007,1
8,122,1,3,0.05360631,0.05360631,0.9990932
8,123,0,3,0.9746935,0.9746935,0
8,124,-1,3,1,0.4562007,0.01090698
8,125,-1,3,1,1,0
8,126,0,3,0.006840297,0.006840297,1
8,127,1,3,1,1,0
8,128,0,4,0.9706268,0.4582337,0,0
8,129,-1,4,0.02717329,0.519233,0.9970598,0.9970598
8,130,0,3,1,1,0
8,131,1,3,0.02920663,0.02920663,1
8,132,1,3,0,0,0.9889265
8,133,0,3,0.9929932,0.01090698,0.01090698
8,134,0,3,0.9482605,0.5558323,0
8,135,0,3,1,0.01903992,0.01903992
8,136,0,3,0.9909598,0.5497327,0.03530666
8,137,-1,3,1,0.5883654,0.01294032
8,138,1,3,0,0,0.9909598
8,139,0,3,0,0,0.9726602
8,140,-1,3,1,1,0.03734
8,141,1,3,0,0,0.9970598
8,142,1,3,0.002773612,0.4928,1
8,143,0,3,0.01903992,0.4643337,0.9685935
8,144,1,3,1,1,0.03327332
8,145,-1,3,0.03937291,0.03937291,1
8,146,0,3,1,1,0.03734
8,147,1,3,0.9828265,0.9828265,0.04140625
8,148,0,3,0.002773612,0.4907667,1
8,149,-1,3,1,0.5720991,0.01903992
8,150,1,2,0.01294032,0.01294032
8,151,1,3,0.9970598,0.9970598,0.01700657
8,152,1,3,0.01294032,0.4440007,1
8,153,-1,3,0,0.2976026,0.9970598
8,154,-1,3,0.9868931,0.9868931,0.02107326
8,155,1,3,0.9990932,0,0.9787602
8,156,1,3,1,1,0
8,157,-1,3,0,0,0.9970598
8,158,-1,3,0,0.4928,0.9807935
8,159,0,3,0.9970598,0.5497327,0
8,160,1,3,1,1,0.03327332
8,161,1,3,0,0.4501007,0.9665601
8,162,1,3,0,0.5212664,1
8,163,1,3,1,1,0.02717329
8,164,-1,3,1,1,0.01903992
8,165,-1,3,0,0.466367,0.9787602
8,166,-1,3,0.0007402693,0.0007402693,1
8,167,-1,4,0,0.4745004,0.4745004,0.9807935
8,168,0,3,0,0,0.9990932
8,169,1,3,1,0,0
8,170,0,3,0.00887364,0.00887364,0.5090663
8,171,0,3,0.01294032,0.01294032,1
8,172,1,3,0.0007402693,0.0007402693,1
8,173,-1,3,1,0.01497367,0.01497367
8,174,0,3,0,0,0.9990932
8,175,0,3,1,0.02107326,0.02107326
8,176,-1,3,1,0.5029668,0.004806954
8,177,0,3,1,0.527366,0.01700657
8,178,1,3,1,1,0.0007402693
8,179,1,3,1,0.452134,0.004806954
8,180,1,3,0.9990932,0.9990932,0
