participantNumber,trialNumber,feltThermal,numberOfLocations,location1,location2,location3,extraLocations
9,1,0,3,0.7672961,0.4704337,0.27117,
9,2,0,3,0.2885363,0.4715336,0.6219984,
9,3,1,3,0.009973641,0.5914987,0.8598952,
9,4,0,3,0.117739,0.2926034,0.4837341,
9,5,-1,3,0.1563716,0.3617353,0.5691323,
9,6,0,3,0.03640666,0.1441721,0.4674675,
9,7,0,3,0.01200698,0.1950047,0.01810739,
9,8,1,3,0.03030664,0.3454691,0.6118317,
9,9,1,3,0.8497284,0.6585976,0.373935,
9,10,-1,3,0,0.1707973,0.4127603,
9,11,0,3,0,0.4188607,0.8885546,
9,12,1,3,1,1,0.001647513,
9,13,1,3,0.9046282,0.8049962,0.2275379,
9,14,1,3,0.9371608,0.9371608,0.245837,
9,15,1,3,0,0.1626644,0.8153556,
9,16,0,3,0.8964944,0.8029624,0.298703,
9,17,-1,3,0.9574938,0.8619285,0.1279053,
9,18,0,3,0.07910595,0.1604383,0.886328,
9,19,1,3,0.03640616,0.1360378,0.7184967,
9,20,1,3,0.9249608,0.8659951,0.1430716,
9,21,-1,0,0.01090698,0.25,1,
9,22,-1,3,0.8517622,0.7541634,0.2824372,
9,23,-1,3,0.09020563,0.285403,0.425701,
9,24,0,3,0.01200693,0.2295707,0.5650661,
9,25,1,3,0.1340053,0.3475024,0.6158988,
9,26,-1,3,0.8334621,0.6513977,0.3626683,
9,27,-1,3,0.1003723,0.291503,0.4989,
9,28,0,3,0.1014722,0.2072043,0.593532,
9,29,0,3,0.03030656,0.2133039,0.5548989,
9,30,0,3,0.0689392,0.5101662,0.7256966,
9,31,1,3,0.1279053,0.25397,0.7805961,
9,32,1,3,0.05470631,0.2743033,0.6260651,
9,33,0,3,0.05267296,0.3963013,0.6260646,
9,34,-1,3,0.009973662,0.009973662,0.4857666,
9,35,1,3,0.08520596,0.2295702,0.4816999,
9,36,0,3,0,0.119965,0.5591587,
9,37,1,3,0.8497284,0.7053637,0.2508366,
9,38,-1,3,0.8375288,0.7683964,0.2641375,
9,39,0,3,0,1,0.8841016,
9,40,1,3,0.8761614,0.8761614,0.1543383,
9,41,0,3,0.02623989,0.1645046,0.5243992,
9,42,0,3,0.8598955,0.7724636,0.3719025,
9,43,1,3,0.1055389,0.2356703,0.573199,
9,44,1,3,0.9432604,0.9432604,0.1482378,
9,45,0,3,0.9127612,0.9127612,0.2560032,
9,46,1,3,0.09943891,0.5772657,0.7358634,
9,47,0,3,0.7968627,0.7175636,0.3393689,
9,48,1,3,0.02920663,0.2203373,0.3443686,
9,49,-1,3,0.02107326,0.2000044,0.352502,
9,50,1,3,0.8619285,0.7866957,0.4390006,
9,51,1,3,0.2234702,0.2946359,0.6524972,
9,52,1,3,0.8273621,0.7846627,0.371902,
9,53,1,3,0.2295702,0.5020329,0.5569323,
9,54,-1,3,0.2153372,0.2844696,0.6362314,
9,55,-1,3,0.1889047,0.2621037,0.574132,
9,56,-1,3,0.2133044,0.3617353,0.453234,
9,57,1,3,0.7765294,0.6931636,0.4471335,
9,58,1,3,0.2804034,0.365802,0.7033303,
9,59,0,3,0.7927961,0.6809645,0.2824367,
9,60,1,3,0.05157299,0.1776381,0.7632298,
9,61,-1,3,0.9371608,0.7907628,0.4898337,
9,62,-1,3,0.07300637,0.3556358,0.4979671,
9,63,-1,3,0.2295703,0.4959329,0.7460297,
9,64,1,3,0.8029628,0.7541634,0.2600704,
9,65,0,3,0.1746717,0.357669,,
9,66,1,2,0.138072,0.2824367,0.6158988,
9,67,0,3,0.7774628,0.5883654,0.4399341,
9,68,1,3,0.815162,0.6972303,0.4410339,
9,69,-1,3,0.8415955,0.8415955,0.158405,
9,70,-1,3,0.06080633,0.1563717,0.7704294,
9,71,0,3,0.9188612,0.8415955,0.4308677,
9,72,0,3,0.8415955,0.6890978,0.3902022,
9,73,0,3,0.2011043,0.465434,0.8395621,
9,74,1,3,0.8964949,0.8110958,0.1796709,
9,75,1,3,0.8395621,0.8395621,0.1075723,
9,76,-1,3,0.8720948,0.8720948,0.353602,
9,77,-1,3,0.06283918,0.06283918,0.7338296,
9,78,0,3,0.1116389,0.1990709,0.6687644,
9,79,1,3,0.1014722,0.1014722,0.6423312,
9,80,-1,3,0.1674713,0.2691367,0.685964,
9,81,0,3,0.8090624,0.7521297,0.225504,
9,82,1,3,0.8171958,0.6992641,0.1563717,
9,83,-1,3,0.2295702,0.2295702,0.7094299,
9,84,0,3,0.1828046,0.3027697,0.6646977,
9,85,1,3,0.1462049,0.2275369,0.741963,
9,86,-1,3,0.5,0.1857709,0.364702,
9,87,0,4,0.2275373,0.3088693,0.6118317,0.6147982
9,88,0,3,0.7907622,0.7012969,0.2885362,
9,89,-1,3,0.8181288,0.7286634,0.3159027,
9,90,0,3,0.1604378,0.1604378,0.2905692,
9,91,0,4,0.5,0.8334621,0.6626639,0.7399296
9,92,-1,4,0.8526952,0.7347636,0.2162708,0.2173702
9,93,1,3,0.7622964,0.6280984,0.4024013,
9,94,0,3,0.2336373,0.3739354,0.8619289,
9,95,-1,3,0.2783696,0.3820683,0.7439963,
9,96,0,3,0.788729,0.71553,0.3841012,
9,97,0,3,0.1218052,0.1828047,0.6850311,
9,98,0,3,0.7663627,0.6829969,0.2275369,
9,99,0,3,0.7835623,0.6432643,0.2528699,
9,100,-1,3,0.8517618,0.7846627,0.3170027,
9,101,0,3,0.7155304,0.613865,0.2458365,
9,102,0,3,0.1959377,0.285403,0.6839307,
9,103,0,3,0.7602626,0.695197,0.3170027,
9,104,0,3,0.780596,0.6606309,0.2508366,
9,105,0,3,0.9452937,0.8639612,0.2133034,
9,106,1,3,0.1828047,0.3210693,0.6219983,
9,107,1,3,0.1613713,0.2528701,0.7306968,
9,108,1,3,0.2153372,0.3109026,0.7724627,
9,109,1,3,0.2112711,0.3007364,0.6667311,
9,110,0,3,0.7033308,0.4898337,0.3861354,
9,111,-1,3,0.8273621,0.72163,0.333269,
9,112,1,3,0.8009295,0.7378972,0.27117,
9,113,1,3,0.3027698,0.4268014,0.8253292,
9,114,0,3,0.2824363,0.3902013,0.849728,
9,115,0,3,0.8700618,0.7622969,,
9,116,-1,2,0.5,0.5,0.212204,
9,117,0,3,0.8232954,0.707397,0.1319715,
9,118,1,3,0.7561964,0.6504647,0.1218052,
9,119,-1,3,0.7724627,0.5792986,0.2397365,
9,120,-1,3,0.1055389,0.2214373,0.7236633,
9,121,0,3,0.8171954,0.707397,,
9,122,1,2,0.7297634,0.5792991,0.2377041,
9,123,-1,3,0.7704293,0.5203326,0.2560028,
9,124,1,3,0.6829973,0.5426993,0.245837,
9,125,0,3,0.7521302,0.5040667,0.217371,
9,126,-1,3,0.8558284,0.4999997,0.124772,
9,127,1,3,0.8293954,0.6484309,0.1950043,
9,128,0,3,0.7968624,0.6362314,0.3292027,
9,129,0,3,0.7216304,0.6443647,0.2885367,
9,130,-1,3,0.09130553,0.2153368,0.6179312,
9,131,0,3,0.8171954,0.6667306,0.1369716,
9,132,1,3,0.08927219,0.1706042,0.7195962,
9,133,0,3,0.7968628,0.6524981,0.3556357,
9,134,0,3,0.1523049,0.2438036,0.7195971,
9,135,0,3,0.1767046,0.3271689,0.640298,
9,136,-1,3,0.8273621,0.6931641,0.2427037,
9,137,0,3,0.8933611,0.6859642,0.1491718,
9,138,1,3,0.178738,0.2966697,0.6524981,
9,139,1,3,0.1746713,0.2499036,0.7114636,
9,140,1,3,0.2194039,0.2194039,0.6972308,
9,141,1,3,0.7164634,0.5090663,0.1634042,
9,142,-1,3,0.1929709,0.292603,0.7358634,
9,143,0,3,0.7622964,0.6504648,0.2458375,
9,144,1,3,0.7765294,0.6890974,0.3698688,
9,145,-1,3,0.7785628,0.5975987,0.3739354,
9,146,-1,3,0.1950042,0.3565687,0.6615644,
9,147,-1,3,0.7765294,0.6707977,0.1695047,
9,148,0,3,0.72053,0.6229314,0.1674713,
9,149,1,3,0.7866957,0.6260646,0.2691367,
9,150,-1,3,0.7826294,0.6179317,0.1421383,
9,151,-1,3,0.674864,0.5569322,0.2255039,
9,152,1,3,0.8314288,0.7256967,0.172638,
9,153,-1,3,0.2173706,0.3210693,0.7399301,
9,154,0,3,0.1136719,0.2580366,0.7449298,
9,155,0,3,0.1014723,0.3292023,0.72163,
9,156,-1,3,0.7765294,0.5731991,0.1848381,
9,157,1,3,0.802962,0.6728303,0.2214366,
9,158,-1,3,0.8720948,0.7846623,0.1279043,
9,159,0,3,0.105539,0.2885368,0.7826298,
9,160,1,3,0.71553,0.5731986,0.1828038,
9,161,0,3,0.7094304,0.4715337,0.2214374,
9,162,-1,3,0.1532384,0.2610033,0.6574978,
9,163,1,3,0.7826291,0.6138647,0.2377033,
9,164,0,3,0.835495,0.7500959,0.3170023,
9,165,1,3,0.8151624,0.735863,0.3048026,
9,166,1,3,0.8720953,0.7683966,0.2316042,
9,167,-1,3,0.7724627,0.7175633,0.2865026,
9,168,1,3,0.7236639,0.6118322,0.326069,
9,169,0,3,0.8262618,0.7306964,0.269136,
9,170,0,3,0.7643293,0.5883654,0.2467704,
9,171,0,3,0.1817043,0.3016693,0.7754294,
9,172,1,3,0.8110957,0.679864,0.2264374,
9,173,0,3,0.7297633,0.6524981,0.2661699,
9,174,-1,3,0.72163,0.6158979,0.2081373,
9,175,1,3,0.1340053,0.2539703,0.6829978,
9,176,1,3,0.09130596,0.2377036,0.6768973,
9,177,0,3,0.8090624,0.6768978,0.1787384,
9,178,0,3,0.8253287,0.6565644,0.1767042,
9,179,-1,3,0.8192292,0.6463982,0.1909377,
9,180,1,3,1,0.5,0,
9,,,,,,,
