Participant,Trial,Temperature,Duration,Direction,FeltThermal,FeltMotion,FeltDirection,ThermalMatch,DirectionMatch
1,1,0,2.0,1,0,1,1,1,1
1,2,0,0.1,1,0,0,1,1,1
1,3,0,2.0,0,0,1,0,1,1
1,4,0,2.0,0,0,1,0,1,1
1,6,0,2.0,0,0,1,0,1,1
1,7,0,2.0,1,0,1,1,1,1
1,8,0,1.0,1,0,1,1,1,1
1,9,-15,1.0,1,-1,0,1,1,1
1,10,9,1.0,1,1,1,1,1,1
1,11,-15,2.0,0,-1,0,0,1,1
1,12,-15,1.0,1,-1,1,1,1,1
1,13,9,2.0,1,1,1,1,1,1
1,14,-15,1.0,1,-1,1,1,1,1
1,16,-15,2.0,1,-1,1,1,1,1
1,18,0,1.0,0,0,0,0,1,1
1,19,-15,0.1,1,-1,0,1,1,1
1,20,-15,0.1,1,-1,0,1,1,1
1,21,-15,1.0,0,-1,0,0,1,1
1,22,9,0.1,1,1,0,1,1,1
1,23,9,2.0,1,1,1,1,1,1
1,24,0,0.1,0,0,0,0,1,1
1,25,0,2.0,1,0,1,1,1,1
1,26,9,2.0,0,1,1,0,1,1
1,27,-15,0.1,0,-1,0,0,1,1
1,28,9,2.0,1,1,1,1,1,1
1,29,0,0.1,0,0,0,0,1,1
1,30,-15,2.0,0,-1,1,0,1,1
1,31,-15,0.1,1,-1,0,1,1,1
1,32,-15,1.0,1,-1,1,1,1,1
1,34,9,1.0,1,1,0,1,1,1
1,36,9,1.0,1,1,1,1,1,1
1,37,-15,2.0,1,-1,1,1,1,1
1,38,-15,1.0,1,-1,1,1,1,1
1,39,-15,1.0,0,-1,1,0,1,1
1,41,9,2.0,0,1,1,0,1,1
1,44,9,0.1,0,1,0,0,1,1
1,45,-15,0.1,0,-1,0,0,1,1
1,46,9,1.0,1,1,1,1,1,1
1,47,-15,2.0,1,-1,1,1,1,1
1,52,9,1.0,1,1,1,1,1,1
1,53,-15,0.1,1,-1,0,1,1,1
1,54,0,0.1,0,0,0,0,1,1
1,55,9,0.1,1,1,0,1,1,1
1,56,9,2.0,0,1,0,0,1,1
1,57,9,0.1,1,1,0,1,1,1
1,58,9,1.0,1,1,1,1,1,1
1,59,0,1.0,1,0,1,1,1,1
1,61,9,1.0,0,1,1,0,1,1
1,62,9,0.1,0,1,0,0,1,1
1,63,9,0.1,0,1,0,0,1,1
1,64,-15,0.1,0,-1,0,0,1,1
1,66,9,0.1,1,1,0,1,1,1
1,67,-15,0.1,1,-1,0,1,1,1
1,68,9,1.0,0,1,0,0,1,1
1,69,0,0.1,1,0,0,1,1,1
1,70,-15,1.0,1,-1,1,1,1,1
1,71,0,1.0,0,0,1,0,1,1
1,72,0,2.0,1,0,1,1,1,1
1,73,9,2.0,1,1,1,1,1,1
1,74,0,1.0,1,0,1,1,1,1
1,75,-15,2.0,0,-1,1,0,1,1
1,77,-15,0.1,0,-1,0,0,1,1
1,78,-15,0.1,1,-1,0,1,1,1
1,79,9,1.0,0,1,0,0,1,1
1,80,0,2.0,0,0,1,0,1,1
1,81,0,2.0,0,0,1,0,1,1
1,82,-15,2.0,0,-1,1,0,1,1
1,83,9,2.0,0,1,1,0,1,1
1,84,-15,1.0,1,-1,0,1,1,1
1,85,0,0.1,1,0,0,1,1,1
1,86,9,0.1,1,1,0,1,1,1
1,87,0,2.0,1,0,1,1,1,1
1,88,9,2.0,0,1,1,0,1,1
1,90,-15,0.1,0,-1,0,0,1,1
1,91,-15,1.0,0,-1,1,0,1,1
1,92,0,1.0,1,0,1,1,1,1
1,93,-15,2.0,1,-1,1,1,1,1
1,95,9,0.1,0,1,0,0,1,1
1,96,9,1.0,1,1,1,1,1,1
1,97,0,2.0,0,0,1,0,1,1
1,98,-15,2.0,0,-1,1,0,1,1
1,99,9,1.0,1,1,1,1,1,1
1,100,9,0.1,1,1,0,1,1,1
1,101,0,0.1,0,0,0,0,1,1
1,102,9,0.1,0,1,0,0,1,1
1,103,-15,1.0,0,-1,0,0,1,1
1,104,0,2.0,1,0,1,1,1,1
1,105,9,1.0,0,1,1,0,1,1
1,106,-15,2.0,1,-1,1,1,1,1
1,108,0,2.0,0,0,1,0,1,1
1,109,0,1.0,0,0,1,0,1,1
1,110,0,1.0,0,0,1,0,1,1
1,111,9,2.0,1,1,1,1,1,1
1,112,-15,0.1,0,-1,0,0,1,1
1,113,-15,0.1,1,-1,0,1,1,1
1,114,-15,2.0,1,-1,1,1,1,1
1,116,-15,1.0,0,-1,1,0,1,1
1,117,0,2.0,0,0,0,0,1,1
1,118,9,0.1,1,1,0,1,1,1
1,120,0,1.0,1,0,1,1,1,1
1,121,-15,1.0,0,-1,1,0,1,1
1,122,9,1.0,0,1,0,0,1,1
1,123,9,1.0,0,1,1,0,1,1
1,124,9,1.0,0,1,0,0,1,1
1,125,9,0.1,1,1,0,1,1,1
1,126,-15,2.0,1,-1,1,1,1,1
1,127,0,1.0,0,0,1,0,1,1
1,129,-15,2.0,1,-1,1,1,1,1
1,130,9,2.0,0,1,1,0,1,1
1,131,9,2.0,1,1,1,1,1,1
1,132,0,1.0,0,0,0,0,1,1
1,133,9,2.0,0,1,1,0,1,1
1,134,0,2.0,1,0,1,1,1,1
1,135,9,1.0,1,1,1,1,1,1
1,136,-15,2.0,0,-1,1,0,1,1
1,137,-15,2.0,0,-1,1,0,1,1
1,138,9,0.1,1,1,0,1,1,1
1,139,0,1.0,1,0,1,1,1,1
1,140,9,2.0,1,1,1,1,1,1
1,141,-15,2.0,0,-1,0,0,1,1
1,142,0,1.0,0,0,1,0,1,1
1,143,-15,2.0,0,-1,1,0,1,1
1,144,9,2.0,1,1,1,1,1,1
1,145,9,2.0,1,1,1,1,1,1
1,146,9,1.0,0,1,1,0,1,1
1,147,-15,2.0,1,-1,1,1,1,1
1,148,9,0.1,1,1,0,1,1,1
1,149,9,1.0,0,1,0,0,1,1
1,150,0,1.0,1,0,0,1,1,1
1,151,0,1.0,1,0,1,1,1,1
1,152,0,2.0,1,0,1,1,1,1
1,153,-15,1.0,1,-1,1,1,1,1
1,154,-15,1.0,1,-1,0,1,1,1
1,155,9,0.1,0,1,0,0,1,1
1,156,0,1.0,0,0,1,0,1,1
1,157,0,0.1,1,0,0,1,1,1
1,158,-15,0.1,0,-1,0,0,1,1
1,159,0,0.1,1,0,0,1,1,1
1,160,9,2.0,1,1,0,1,1,1
1,161,0,0.1,1,0,0,1,1,1
1,162,-15,1.0,0,-1,1,0,1,1
1,163,0,2.0,0,0,0,0,1,1
1,164,9,0.1,0,1,0,0,1,1
1,165,9,2.0,0,1,1,0,1,1
1,166,-15,2.0,0,-1,1,0,1,1
1,167,9,0.1,0,1,0,0,1,1
1,170,9,1.0,1,1,1,1,1,1
1,171,9,0.1,0,1,0,0,1,1
1,172,0,0.1,1,0,1,1,1,1
1,173,9,0.1,0,1,0,0,1,1
1,174,9,2.0,0,1,1,0,1,1
1,175,9,2.0,0,1,1,0,1,1
1,176,0,0.1,1,0,0,1,1,1
1,177,-15,0.1,1,-1,0,1,1,1
1,178,-15,1.0,0,-1,1,0,1,1
1,179,0,1.0,1,0,1,1,1,1
2,1,9,1.0,1,1,1,1,1,1
2,2,9,0.1,0,1,0,0,1,1
2,4,0,1.0,1,0,1,1,1,1
2,5,9,0.1,0,1,1,0,1,1
2,6,9,0.1,1,1,1,1,1,1
2,7,9,2.0,1,1,1,1,1,1
2,8,-15,1.0,1,-1,1,1,1,1
2,10,-15,2.0,1,-1,0,1,1,1
2,14,-15,2.0,1,-1,1,1,1,1
2,15,0,0.1,0,0,1,0,1,1
2,18,-15,1.0,1,-1,1,1,1,1
2,19,0,0.1,1,0,1,1,1,1
2,20,-15,1.0,1,-1,1,1,1,1
2,24,-15,0.1,1,-1,1,1,1,1
2,25,-15,1.0,0,-1,1,0,1,1
2,27,0,1.0,1,0,1,1,1,1
2,28,-15,2.0,1,-1,1,1,1,1
2,29,9,2.0,1,1,1,1,1,1
2,30,0,2.0,1,0,1,1,1,1
2,31,-15,1.0,1,-1,1,1,1,1
2,33,9,1.0,0,1,1,0,1,1
2,34,0,2.0,0,0,1,0,1,1
2,37,0,0.1,1,0,1,1,1,1
2,38,0,1.0,0,0,1,0,1,1
2,39,9,0.1,0,1,1,0,1,1
2,40,-15,0.1,1,-1,1,1,1,1
2,41,-15,2.0,0,-1,1,0,1,1
2,42,9,0.1,1,1,1,1,1,1
2,43,-15,1.0,1,-1,1,1,1,1
2,44,0,0.1,1,0,1,1,1,1
2,45,0,1.0,0,0,1,0,1,1
2,46,0,1.0,0,0,1,0,1,1
2,48,0,1.0,0,0,1,0,1,1
2,49,9,1.0,1,1,1,1,1,1
2,50,-15,0.1,1,-1,1,1,1,1
2,51,9,2.0,1,1,1,1,1,1
2,52,9,0.1,1,1,1,1,1,1
2,53,0,2.0,1,0,1,1,1,1
2,54,0,2.0,0,0,1,0,1,1
2,55,0,0.1,1,0,1,1,1,1
2,56,-15,1.0,1,-1,1,1,1,1
2,57,-15,1.0,0,-1,1,0,1,1
2,58,-15,1.0,0,-1,1,0,1,1
2,61,-15,2.0,1,-1,1,1,1,1
2,62,-15,1.0,0,-1,1,0,1,1
2,63,-15,2.0,0,-1,1,0,1,1
2,64,0,2.0,0,0,1,0,1,1
2,65,9,1.0,0,1,1,0,1,1
2,66,-15,2.0,1,-1,1,1,1,1
2,67,9,1.0,1,1,1,1,1,1
2,68,-15,2.0,1,-1,1,1,1,1
2,69,-15,2.0,0,-1,1,0,1,1
2,70,9,1.0,1,1,1,1,1,1
2,71,-15,2.0,0,-1,1,0,1,1
2,72,9,1.0,1,1,1,1,1,1
2,73,0,0.1,0,0,1,0,1,1
2,74,9,1.0,0,1,1,0,1,1
2,75,9,1.0,1,1,1,1,1,1
2,76,9,2.0,0,1,1,0,1,1
2,77,-15,2.0,1,-1,1,1,1,1
2,78,0,2.0,1,0,1,1,1,1
2,79,9,2.0,1,1,1,1,1,1
2,80,-15,1.0,0,-1,1,0,1,1
2,81,-15,2.0,1,-1,1,1,1,1
2,83,0,2.0,0,0,1,0,1,1
2,84,9,2.0,0,1,1,0,1,1
2,86,9,0.1,0,1,1,0,1,1
2,87,0,0.1,1,0,1,1,1,1
2,88,0,0.1,0,0,1,0,1,1
2,89,-15,1.0,0,-1,1,0,1,1
2,91,0,0.1,1,0,1,1,1,1
2,92,-15,1.0,1,-1,1,1,1,1
2,93,-15,0.1,1,-1,1,1,1,1
2,95,9,2.0,0,1,1,0,1,1
2,96,0,0.1,0,0,1,0,1,1
2,98,9,0.1,1,1,1,1,1,1
2,99,9,1.0,1,1,1,1,1,1
2,100,0,2.0,0,0,1,0,1,1
2,101,9,1.0,0,1,1,0,1,1
2,102,9,1.0,0,1,1,0,1,1
2,103,0,0.1,1,0,1,1,1,1
2,104,9,1.0,0,1,1,0,1,1
2,105,0,1.0,1,0,1,1,1,1
2,106,0,0.1,0,0,1,0,1,1
2,107,9,2.0,0,1,1,0,1,1
2,108,0,0.1,0,0,1,0,1,1
2,109,-15,2.0,1,-1,1,1,1,1
2,110,0,1.0,0,0,1,0,1,1
2,111,9,2.0,0,1,1,0,1,1
2,112,0,1.0,1,0,1,1,1,1
2,113,-15,2.0,0,-1,1,0,1,1
2,115,9,0.1,0,1,1,0,1,1
2,116,9,2.0,1,1,1,1,1,1
2,117,0,2.0,0,0,1,0,1,1
2,118,0,0.1,0,0,1,0,1,1
2,119,-15,2.0,0,-1,1,0,1,1
2,120,9,0.1,0,1,1,0,1,1
2,121,9,1.0,0,1,1,0,1,1
2,122,0,0.1,1,0,1,1,1,1
2,123,-15,0.1,0,-1,1,0,1,1
2,124,9,2.0,1,1,1,1,1,1
2,126,-15,1.0,1,-1,1,1,1,1
2,127,9,1.0,0,1,1,0,1,1
2,128,0,2.0,1,0,1,1,1,1
2,129,-15,2.0,1,-1,1,1,1,1
2,130,0,2.0,0,0,1,0,1,1
2,131,0,0.1,0,0,1,0,1,1
2,132,0,2.0,1,0,1,1,1,1
2,133,-15,2.0,0,-1,1,0,1,1
2,134,9,2.0,0,1,1,0,1,1
2,135,0,1.0,0,0,1,0,1,1
2,136,-15,1.0,1,-1,1,1,1,1
2,137,9,0.1,0,1,1,0,1,1
2,138,9,1.0,0,1,1,0,1,1
2,139,9,0.1,1,1,1,1,1,1
2,141,9,2.0,0,1,1,0,1,1
2,142,0,0.1,0,0,1,0,1,1
2,143,9,2.0,0,1,1,0,1,1
2,144,9,1.0,1,1,1,1,1,1
2,145,-15,2.0,0,-1,1,0,1,1
2,146,9,1.0,1,1,1,1,1,1
2,147,0,1.0,1,0,1,1,1,1
2,148,0,2.0,0,0,1,0,1,1
2,149,0,2.0,1,0,1,1,1,1
2,150,0,2.0,0,0,1,0,1,1
2,151,9,1.0,1,1,1,1,1,1
2,152,9,2.0,1,1,1,1,1,1
2,153,-15,0.1,0,-1,1,0,1,1
2,154,0,1.0,0,0,1,0,1,1
2,155,0,1.0,0,0,1,0,1,1
2,156,9,2.0,0,1,1,0,1,1
2,158,9,0.1,0,1,1,0,1,1
2,159,0,1.0,1,0,1,1,1,1
2,160,-15,0.1,1,-1,1,1,1,1
2,161,9,0.1,1,1,1,1,1,1
2,162,0,1.0,1,0,1,1,1,1
2,163,-15,0.1,0,-1,1,0,1,1
2,164,0,1.0,1,0,1,1,1,1
