T-15_Dur0.1_Dir0,T-15_Dur0.1_Dir1,T-15_Dur1.0_Dir0,T-15_Dur1.0_Dir1,T-15_Dur2.0_Dir0,T-15_Dur2.0_Dir1,T0_Dur0.1_Dir0,T0_Dur0.1_Dir1,T0_Dur1.0_Dir0,T0_Dur1.0_Dir1,T0_Dur2.0_Dir0,T0_Dur2.0_Dir1,T9_Dur0.1_Dir0,T9_Dur0.1_Dir1,T9_Dur1.0_Dir0,T9_Dur1.0_Dir1,T9_Dur2.0_Dir0,T9_Dur2.0_Dir1
0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
