Participant,Temperature,Duration,Location
4,-12,1.5,0.75
4,9,0.1,0.25
4,-15,1.5,0.5
4,6,2.0,1.0
4,0,0.1,0.75
4,-12,1.0,0.25
4,-15,0.5,0.5
4,9,1.0,0.25
4,0,1.0,0.5
4,0,2.0,0.75
4,-15,1.5,1.0
4,0,2.0,1.0
4,6,1.5,0.75
4,6,0.1,0.0
4,-12,0.1,0.75
4,9,0.1,0.0
4,0,1.0,0.5
4,9,0.5,0.75
4,0,1.5,0.5
4,0,1.0,0.25
4,0,1.0,0.0
4,-15,0.5,1.0
4,0,0.5,0.25
4,0,1.5,0.75
4,6,0.5,0.25
4,0,2.0,1.0
4,-12,1.0,0.5
4,9,1.5,0.25
4,6,0.1,0.25
4,6,0.5,0.5
4,9,1.5,1.0
4,9,2.0,1.0
4,0,0.1,0.75
4,6,0.5,0.75
4,6,1.0,0.0
4,-12,1.0,1.0
4,-12,0.5,1.0
4,0,1.5,1.0
4,-15,2.0,0.0
4,6,2.0,0.0
4,-15,2.0,1.0
4,6,2.0,0.5
4,0,0.5,0.0
4,6,1.0,0.25
4,9,0.1,0.5
4,-15,0.1,0.5
4,0,0.5,0.0
4,0,1.0,0.75
4,-15,0.5,0.0
4,-15,1.5,0.75
4,6,2.0,0.75
4,-12,0.5,0.0
4,-15,0.5,1.0
4,6,1.5,0.75
4,0,0.1,0.0
4,9,2.0,0.75
4,6,2.0,0.25
4,9,1.5,0.25
4,-15,0.1,0.0
4,9,0.5,0.5
4,6,0.1,0.5
4,-15,0.5,0.25
4,9,2.0,0.25
4,6,1.0,0.25
4,9,0.5,1.0
4,9,1.0,0.75
4,-12,0.1,0.5
4,-12,1.5,0.0
4,-15,0.1,0.0
4,-12,1.5,0.25
4,-12,0.1,1.0
4,9,0.5,0.25
4,9,1.0,0.5
4,0,1.5,0.0
4,-15,0.5,0.75
4,-12,1.0,0.75
4,0,0.5,0.75
4,-15,1.0,1.0
4,0,0.1,0.25
4,-15,1.5,1.0
4,-12,2.0,0.5
4,0,0.5,0.0
4,9,1.5,0.75
4,9,1.0,0.0
4,-15,0.5,1.0
4,0,1.0,0.25
4,9,2.0,1.0
4,0,0.5,1.0
4,6,1.5,0.5
4,-15,0.1,0.75
4,9,2.0,0.75
4,-12,2.0,0.75
4,-12,0.5,1.0
4,-12,2.0,1.0
4,-15,0.1,1.0
4,9,2.0,0.5
4,9,0.1,0.5
4,-12,1.5,1.0
4,-15,0.5,0.25
4,0,0.5,0.5
4,0,0.1,0.0
4,0,0.1,1.0
4,0,2.0,0.0
4,6,1.0,0.5
4,9,1.5,0.75
4,-15,2.0,0.0
4,-15,2.0,0.5
4,6,0.1,0.0
4,-12,1.0,0.0
4,-12,1.0,1.0
4,6,0.5,1.0
4,0,0.1,0.0
4,-12,1.0,0.75
4,-12,0.1,0.0
4,9,0.5,0.0
4,-15,1.0,0.25
4,-15,2.0,0.25
4,-15,0.1,0.0
4,0,0.1,1.0
4,0,0.5,1.0
4,6,0.5,1.0
4,6,0.1,0.75
4,6,1.0,1.0
4,9,0.1,0.5
4,6,1.0,1.0
4,-15,0.1,0.25
4,-15,0.1,1.0
4,-12,2.0,1.0
4,6,2.0,0.75
4,0,2.0,0.75
4,-12,0.5,0.5
4,-15,2.0,0.5
4,9,0.5,0.5
4,-15,2.0,0.5
4,6,1.0,0.0
4,6,0.5,0.25
4,-12,1.0,1.0
4,0,1.5,0.75
4,-15,1.5,0.25
4,9,0.1,0.0
4,6,1.5,0.0
4,-15,1.0,0.5
4,-12,0.5,0.75
4,-15,0.5,0.25
4,9,2.0,0.25
4,6,0.1,0.0
4,9,2.0,0.5
4,-12,1.5,0.25
4,-15,2.0,0.75
4,-12,2.0,0.0
4,0,0.5,0.75
4,-15,2.0,1.0
4,9,1.0,0.5
4,-12,2.0,0.25
4,6,1.0,1.0
4,9,0.1,0.75
4,6,1.0,0.5
4,0,1.5,1.0
4,0,0.1,0.5
4,0,2.0,0.75
4,-12,1.0,0.5
4,0,0.5,1.0
4,0,1.5,0.25
4,-12,1.0,0.75
4,9,2.0,0.75
4,-12,1.5,0.0
4,6,2.0,0.25
4,9,0.1,0.75
4,-12,2.0,0.75
4,-12,2.0,0.0
4,9,1.0,1.0
4,6,1.0,0.75
4,0,2.0,0.25
4,0,1.5,1.0
4,9,2.0,0.0
4,6,1.0,0.25
4,-12,0.1,0.25
4,9,0.5,0.0
4,-15,0.1,0.75
4,-15,1.5,0.5
4,6,0.1,1.0
4,-15,1.5,0.0
4,-12,1.0,0.25
4,-12,1.0,0.0
4,6,1.5,1.0
4,-12,0.5,0.0
4,0,1.0,0.75
4,0,0.1,0.25
4,9,0.5,0.25
4,-15,1.5,0.0
4,6,1.5,0.0
4,6,0.5,1.0
4,9,0.1,1.0
4,0,2.0,0.0
4,6,0.1,0.5
4,6,0.1,0.25
4,-12,0.1,0.75
4,9,1.0,0.0
4,6,1.5,0.75
4,0,2.0,0.5
4,-15,2.0,1.0
4,-15,2.0,0.75
4,9,1.0,0.75
4,-15,0.1,0.5
4,0,1.0,1.0
4,0,1.0,0.0
4,6,0.1,0.25
4,-15,1.0,1.0
4,-12,2.0,0.5
4,-15,1.0,0.25
4,9,1.5,0.5
4,6,1.0,0.5
4,6,1.5,1.0
4,6,2.0,0.5
4,9,0.5,0.25
4,9,1.5,1.0
4,-12,0.5,0.25
4,0,0.1,0.25
4,9,0.5,1.0
4,-15,2.0,0.25
4,-12,0.1,0.25
4,-12,0.5,1.0
4,-15,1.0,0.75
4,-15,1.0,0.0
4,-12,0.5,0.25
4,-12,2.0,1.0
