participantNumber,trialNumber,feltThermal,feltMotion
3,1,0,1
3,2,1,0
3,3,1,1
3,4,1,0
3,5,1,0
3,6,-1,0
3,7,0,0
3,8,0,0
3,9,1,0
3,10,-1,1
3,11,-1,0
3,12,1,0
3,13,1,0
3,14,0,0
3,15,0,0
3,16,-1,1
3,17,1,1
3,18,0,1
3,19,1,1
3,20,-1,1
3,21,1,0
3,22,-1,0
3,23,0,0
3,24,1,1
3,25,0,1
3,26,0,1
3,27,-1,1
3,28,0,0
3,29,1,1
3,30,1,1
3,31,-1,0
3,32,0,0
3,33,1,1
3,34,1,1
3,35,0,0
3,36,0,1
3,37,1,1
3,38,0,1
3,39,1,1
3,40,-1,0
3,41,-1,0
3,42,1,1
3,43,1,1
3,44,1,0
3,45,0,1
3,46,1,1
3,47,-1,1
3,48,0,1
3,49,0,0
3,50,-1,1
3,51,0,0
3,52,1,1
3,53,-1,0
3,54,-1,1
3,55,0,0
3,56,1,0
3,57,0,0
3,58,-1,1
3,59,1,0
3,60,1,0
3,61,0,0
3,62,0,1
3,63,0,0
3,64,0,1
3,65,0,0
3,66,1,1
3,67,-1,1
3,68,1,1
3,69,-1,0
3,70,-1,0
3,71,1,1
3,72,1,1
3,73,-1,0
3,74,-1,1
3,75,-1,1
3,76,0,1
3,77,0,1
3,78,-1,1
3,79,1,0
3,80,0,0
3,81,1,1
3,82,-1,1
3,83,-1,0
3,84,1,0
3,85,0,0
3,86,-1,1
3,87,0,0
3,88,0,0
3,89,1,0
3,90,0,1
3,91,1,1
3,92,-1,1
3,93,1,1
3,94,0,0
3,95,1,0
3,96,0,1
3,97,0,0
3,98,0,1
3,99,0,1
3,100,1,1
3,101,1,1
3,102,-1,0
3,103,-1,0
3,104,1,1
3,105,1,1
3,106,1,1
3,107,-1,1
3,108,0,0
3,109,0,0
3,110,1,0
3,111,0,0
3,112,1,0
3,113,-1,1
3,114,1,1
3,115,0,0
3,116,1,1
3,117,0,0
3,118,0,1
3,119,0,1
3,120,-1,0
3,121,1,1
3,122,-1,1
3,123,-1,1
3,124,0,1
3,125,1,0
3,126,-1,1
3,127,1,1
3,128,1,0
3,129,0,0
3,130,1,1
3,131,0,1
3,132,-1,1
3,133,0,1
3,134,1,1
3,135,0,1
3,136,-1,1
3,137,1,1
3,138,1,0
3,139,0,1
3,140,1,1
3,141,0,0
3,142,0,1
3,143,0,1
3,144,1,1
3,145,-1,1
3,146,1,1
3,147,-1,1
3,148,0,0
3,149,-1,1
3,150,0,1
3,151,-1,1
3,152,0,1
3,153,-1,1
3,154,-1,1
3,155,1,1
3,156,0,1
3,157,0,0
3,158,-1,1
3,159,1,1
3,160,1,0
3,161,-1,0
3,162,0,0
3,163,-1,0
3,164,-1,1
3,165,-1,1
3,166,0,1
3,167,1,0
3,168,0,1
3,169,-1,0
3,170,1,0
3,171,-1,1
3,172,1,1
3,173,0,1
3,174,0,1
3,175,-1,1
3,176,0,1
3,177,0,1
3,178,0,1
3,179,0,0
3,180,1,0
